_section,_species,_page,Areas Of Production,Areas for optimal production,Areas of Production,Areas of production,Biomass Yield(t/h a),Cane yield (t ha-1),Durat ion to matu rity (mon ths),Duratio n to maturit y (month s),Duratio n to maturit y (years),Duration to maturity ( days),Duration to maturity (days),Duration to maturity (months),Duration to maturity (months/day s),Duration to peak production (months),Economic production life (years),Flower yield (t ha-1 y-1),Fruit yield (kg tree-1 y-1),Grai n yiel d (t ha- 1),Grai n yiel d (t ha-1 ),Grain (G) and/or Forage(F ) yield (t ha-1 ),Grain yield (t ha- 1 ),Grain yield (t ha-1 ),Grain yield (t ha-1),Grain yield (t/ha),Grain yield(t ha-1 ),Grain yield(t/ ha),Green tea leaf yield (t ha-1 y- 1),Leaf Yield (t ha- 1),Lint yiel d (t ha- 1 ),Mainta iner and source,Maintai ner and seed source,Maintain er,Maintain er And Source,Maintain er and seed source,Maintain er and seedling source,Maintain er and source,Maintaine r,Maintaine r and Source,Maintaine r and seed source,Maintaine r and seedling source,Maintaine r and source,Maintainer,Maintainer and seed source,Maintainer and seedling source,Maintainer and source,Matu rity durat ion,Maturi ty duratio n,Maturi ty duratio n(mont hs),Maturit y duratio n(mont hs),Maturity Duration,Maturity Duration (months),Maturity duration,Maturity duration (years),Maturity duration( months),Maturity duration(mo nths),Maturity duration(months),Offici al Rele ase Nam e,Official Releas e Name,Official Release Name,Official Release name,Official Variety Name,Official Variety Release Name,Official release name,Official variety release Name,Official variety release name,Optimal producti on altitude range (Masl),Optimal productio n altitude range (Masl),Optimal production altitude (Masl),Optimal production altitude (masl),Optimal production altitude range (Masl),Optimal production altitude range (masl),Owne r(s),Owner (s) / Licensee,Owner( s),Owner( s) / License e,Owner( s) license e,Owner(S) Licensee,Owner(s ) / Licensee,Owner(s),Owner(s) / Licensee,Owner(s) / licensee,Owner(s) Licensee,Owner(s) licensee,Relea se name,Releas e Name,Releas e name,Release Name,Release name,Root yield (tha- 1 y-1),Root yield (tha-1 y- 1),Root yield (tha-1 y-1),Seed yield( t ha- 1),Special Attributes,Special attributes,Time to 50% flowering at 2551 m a s l (months),Tuber yield (t ha- 1),Tuber yield (t ha-1),Variety Code / Name,Variety Name,Variety Name/C ode,Variety Testing name/Co de,Variety name,Variety name/ Code,Variety name/ variety code,Variety name/cod e,Variety name/code,Variety testing name/c ode,Variety testing name/cod e,Year Of Release,Year of Releas e in kenya,Year of rele ase,Year of relea se,Year of releas e,Year of releas e in Kenya,Year of release,Year of release in Kenya,Year of release in kenya,Yiel d(t/ ha),Yield,Yield (T/Ha ),Yield (t/ha),Yield (t/ha) per tree,Yield( t/ha),Yield(t /ha),Yield(t/ ha),release name
IRISH POTATO,"Solanum tuberosum L.
a",36,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrico East Africa Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,Agrico U.A,,,,,,,,,,,,,,," Long oval shape, White skin  Crème flesh tubers  Strong canopy  Tolerant to drought stress  High dry matter  Good storability  Good for French fries, crisps, chips and fresh consumption, multipurpose variety",,40,,,,,,,,,,6. MARKIE S,,,,,,,,,2014,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",36,,,,,,,,,,,,3.5-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HZPC Holland B.V., Field and in- vitro maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V.,,,,,,,,,,,,,,," Multipurpose variety: French Fries, Fresh, Crisps  Good dry matter content  Medium long dormancy  Suitable for second crop  Medium early  Resistant to viruses and cyst nematodes",,65-70,,,,,,,,,,7. SAGITTA,,,,,,,,,2014,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",37,,,,,,,,,,,,3.5-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HZPC Holland B.V., Field and in- vitro maintenance",,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V.,,,,,,,,,,,,,,," Early maturing  Good resistance to Late Blight  Multipurpose variety: Crisps, French fries, fresh  Short dormancy  Good dry matter content  Good scab and virus resistance  Resistant to cyst nematodes",,70-75,,,,,,,,,,8. DERBY,,,,,,,,,2014,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",37,,,,,,,,,,,,4.5-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrico East Africa Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,Agrico U.A.,,,,,,,,,,,,,,," Good for French fries  Easy to grow  Vigorous plants  Large uniform oval/long big tubers  Shallow eyes  Moderate dry matter content  Good resistance to Fusarium, Erwinia, PotatoCyst Nematode Ro 1and 4, Yntn- virus",,65-70,,,,,,,,,,9. AMBITIO N (AR 96- 0010),,,,,,,,,2014,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",37,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC Holland B.V. department HZPC R&D,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,," Variety is suitable for processing, especially for the production of crisps.",,40,,,,,,,,,,10. TAURUS,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",37,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGRICO EAST AFRICA LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,AGRICO U.A.,,,,,,,,,,,,,,, Fresh table consumption,,50,,,,,,,,,,11. KURODA,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",38,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGRICO EAST AFRICA LTD.,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,AGRICO U.A.,,,,,,,,,,,,,,, Fresh table consumption,,51,,,,,,,,,,12. ZAFIRA,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",38,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"EUROPLANT PFLANZENZU CHT GmbH, P.O. Box 13 80, D-21303 Lüneburg, GERMANY",,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,"Saatzucht Berding, Am Jadebusen36 , D-26345 Bockhorn- Petersgrode n, GERMANY",,,,,,,,,,,,,,," Fresh market potato variety  Good resistance to Potato Cyst Nematode, late blight, Black legand common Scab",,44,,,,,,,,,,13. MILVA,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",38,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC Holland B.V,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,, Very suitable for the processing industry (french fries) and fresh market  Good resistance to Alternaria and Common scab.,,42.4,,,,,,,,,,14. CHALLE NGER,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",38,,,,,,,,,,,,3.5-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC Holland B.V,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,, Fresh market variety  Early maturing,,46.4,,,,,,,,,,15. 15. EVORA,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",38,,,,,,,,,,,,4.5-5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC Holland B.V,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,, Highly tolerant to climatic stress  Good Late blight and scab resistance  Good dry matter content  Fresh market variety,,59.2,,,,,,,,,,16. PANAM ERA,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",38,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC Holland B.V,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,, Fresh market variety with good dry matter content  Moderate resistance to Common scab,,49.6,,,,,,,,,,17. RODEO,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",39,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC Holland B.V,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,, Big size tubers  Resistant to cyst nematodes and Wart disease  Good resistance to Common scab  Good dry matter content  Fresh market variety,,49.5,,,,,,,,,,18. SIFRA,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",39,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC Holland B.V,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production.",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,, Good yield  Good late blight resistance  Suitable for fresh market and French Fries  Good Common scab resistance.,,49.5,,,,,,,,,,19. VOYAGE R,,,,,,,,,2015,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",39,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"HZPC Holland B.V. department HZPC R&D, The Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production",,,,,,,,,HZPC Holland B.V. The Netherlands,,,,,,,,,,,,,,, Variety is suitable for fresh market  Has a good consumption quality  Variety has a good resistance to Alternaria Common scab and Late Blight.,,22,,,,,,,,,,20. Farida,,,,,,,,,2018,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",39,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C. Meijer BV,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production",,,,,,,,,C. Meijer BV,,,,,,,,,,,,,,," Resistance toward wart disease fysio 1, G. rostochiensis pathotype 1 and pathotype 2/3, Resistance toward G. Pallida fysio 2.",,18,,,,,,,,,,21. Rock,,,,,,,,,2018,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",39,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,C. Meijer BV,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production",,,,,,,,,C. Meijer BV,,,,,,,,,,,,,,, Resistance toward wart disease fysio 1 and G. rostochiensis pathotype 1.,,23,,,,,,,,,,22. Lady Terra,,,,,,,,,2018,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",40,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPR B.V. Maintenance in the field and in-vitro,,,,,,,,,,,,,,,,,,,,,,,,,,,"Timau, Tigoni, Molo, Narok, Bomet, Timboroa and all regions suitable for potato production",,,,,,,,,IPR B.V. The Netherlands,,,,,,,,,,,,,,, Variety is suitable for fresh market  Has a good consumption quality  Also suitable for home & fries  Variety has an attractive skin and regular shape.,,45,,,,,,,,,,23. ZARINA,,,,,,,,,2018,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",40,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenvale AP,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1800- 2600 masl, Examples: Timau, Tigoni, Molo, Narok, Bomet, Timboroa, Nyandarua and Naivasha",,,,,,,,,James Hutton Ltd,,,,,,,,,,,,,,," Table variety; grown as organic in UK (low input variety)  Exceptional vigour under low fertility  Highly resistant to late blight, powdery scab, blackleg and potato virus Y  Moderately drought tolerant",,53-74,,,,,,,,,,24. Lady Balfour,,,,,,,,,2019,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",40,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grampian Growers,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1800- 2600 masl, Examples: Timau, Tigoni, Molo, Narok, Bomet, Timboroa, Nyandarua and Naivasha",,,,,,,,,James Hutton Ltd,,,,,,,,,,,,,,," Table, salad variety  Consistently produces white flesh tubers  Resistant to potato leafroll virus and blackleg",,42-48,,,,,,,,,,25. Gemson,,,,,,,,,2019,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",40,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greenvale AP,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1800- 2600 masl, Examples: Timau, Tigoni, Molo, Narok, Bomet, Timboroa, Nyandarua and Naivasha",,,,,,,,,James Hutton Ltd,,,,,,,,,,,,,,, Table and chipping variety  Good resistance to late blight and powdery scab  Moderately drought tolerant,,41-53,,,,,,,,,,26. Sorrento,,,,,,,,,2019,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",41,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SASA,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1800- 2600 masl, Examples: Timau, Tigoni, Molo, Narok, Bomet, Timboroa, Nyandarua and Naivasha",,,,,,,,,James Hutton Ltd,,,,,,,,,,,,,,," Resistant to PCN (G rostochiensis), and tuber blemish diseases",,46-49,,,,,,,,,,27. Reiver,,,,,,,,,2019,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",41,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Irish Potato Marketing,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1800- 2600 masl, Examples: Timau, Tigoni, Molo, Narok, Bomet, Timboroa, Nyandarua and Naivasha",,,,,,,,,Irish Potato Marketing,,,,,,,,,,,,,,," All-rounder including chips  Resistant to PCN (G rostochiensis), late blight, blackleg and potato virus Y  Moderately drought tolerant",,47-64,,,,,,,,,,28. Cara,,,,,,,,,2019,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",41,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SASA Edinburgh,sc otland , UK Stokman Rozen,Naiva sha, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude:1000 — 3000, m.a.s.1, AEZ: UH 1-3, LH- 1-3, UM1-3, Sites: Nyandarua, Meru, Bomet, Narok, Nakuru, Kericho, Laikipia, Kiambu, Kirinyaga, West Pokot, Trans Nzoia, Bungoma, Uasin Gishu, Nyeri, Elgeyo- Marakwet",,,,,,,,,"Owner: Teagasc, Global Licensee: IPM Potato, Group Limited, Sub- licensee, Kenya: Kirinyaga, Seeds Limited",,,,,,,,,,,,,,," Very high resistance to Phytophthora  Suitable for making  Suitable for long storage  Resistant to tuber blight, foliage blight, common",,40-50,,,,,,,,,,29. Java,,,,,,,,,2021,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",41,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SASA Edinburgh,sc otland , UK Stokman Rozen,Naiva sha, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: from1000 to 3000 masl. AEZ: UH 1-3,UM 1-3, LH 13. Sites:Nyandarua, Meru, Bomet, Narok,Nakuru,Ke richo,Laikipia, Kiambu,",,,,,,,,,Teagasc Global licensee: IPM Potato Group Ltd Sub -licensee Kenya:Kiriny aga seeds Ltd,,,,,,,,,,,,,,, Table market variety with large round tubers and attractive skin finish  Suitable for cooking  Good for storage,,30-50,,,,,,,,,,30. Buffalo,,,,,,,,,2023,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",42,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"SASA Edinburgh,sc otland , UK Stokman Rozen,Naiva sha, Kenya",,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: from1000 to 3000 masl. AEZ: UH 1-3,UM 1-3, LH 13. Sites:Nyandarua, Meru, Bomet, Narok,Nakuru,Ke richo,Laikipia, Kiambu, Kirinyaga, West Pokot, Trans nzoia, Bungoma, Uasin Gishu, Nyeri, Elgeyo- Marakwet",,,,,,,,,Teagasc Global licensee: IPM Potato Group Ltd Sub -licensee Kenya:Kiriny aga seeds Ltd,,,,,,,,,,,,,,, Suitable for french fries,,30-50,,,,,,,,,,31. Maveric k,,,,,,,,,2023,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",42,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HZPC,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1300- 3000 m.a.s.l AEZ: UH1-3, LH1- 3,UM1-3 Sites:Nyandarua, Meru, Bomet, Narok, Nakuru, Kericho, Laikipia, Kiambu, Uasin Gishu, Nyeri,Elgeyo- Marakwet",,,,,,,,,HZPC,,,,,,,,,,,,,,, Stable for french fries and crips (Dry matter content of 21.5%),,50-80,,,,,,,,,,32. CAYMA N,,,,,,,,,2023,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",42,,,,,,,,,,,,3-3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Eldoret,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: from 2100 to 2700 masl. AEZ: UH 1-3,UM 1-3, LH 13. Sites:Marakwet,L aikapia, and Uasin Gishu Counties",,,,,,,,,University of Eldoret,,,,,,,,,,,,,,, One month dormancy  White skin  White flesh  Early maturing  Good for chopping,,20-30,,,,,,,,,,33. ELDO IP1,,,,,,,,,2023,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",43,,,,,,,,,,,,4-4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,University of Eldoret,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: from 2300 to 3000 masl. AEZ: UH 1-3,UM 1-3, LH 13. Sites:Marakwet,L aikapia, and Uasin Gishu Counties",,,,,,,,,University of Eldoret,,,,,,,,,,,,,,, Long dormancy  Deep red skin  White flesh  Good for table,,20-30,,,,,,,,,,34. ELDO IP2,,,,,,,,,2023,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",43,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agventure BV, Dreijenlaan 2, 6703 HA,Wagenin gen, the Netherlands Doing business as: Solynta",,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1300- 3000 m.a.s.l AEZ: UH1-3, LH1- 3,UM1-3 Sites:Nyandarua, Meru, Bomet, Narok, Nakuru, Kericho, Laikipia, Kiambu, Uasin Gishu, Nyeri,Elgeyo- Marakwet",,,,,,,,,"Agventure BV, Dreijenlaan 2, 6703 HA,Wagenin gen, the Netherlands Doing business as: Solynta",,,,,,,,,,,,,,, Delivered as True Potato Seeds  Round- oval potato with yellow skin and medium yellow flesh that is well suited for the fresh market  Shallow eyes  Cooking type: fairly- firm  Dry matter: 18%,,20-30,,,,,,,,,,35. SOLHY0 07,,,,,,,,,2024,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",43,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agventure BV, Dreijenlaan 2, 6703 HA,Wagenin gen, the Netherlands",,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1300- 3000 m.a.s.l AEZ: UH1-3, LH1- 3,UM1-3 Sites:Nyandarua, Meru, Bomet, Narok, Nakuru, Kericho, Laikipia, Kiambu, Uasin Gishu, Nyeri,Elgeyo- Marakwet",,,,,,,,,"Agventure BV, Dreijenlaan 2, 6703 HA,Wagenin gen, the Netherlands Doing business as: Solynta",,,,,,,,,,,,,,, Delivered as True Potato Seeds  Oval potato with yellow skin and yellow flesh that is well suited for the fresh market  Shallow eyes  Cooking type: fairly- firm  Dry matter: 20%,,20-30,,,,,,,,,,36. SOLYHY 012,,,,,,,,,2024,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",43,,,,,,,,,,,,3-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Agventure BV, Dreijenlaan 2, 6703 HA,Wagenin gen, the Netherlands Doing business as: Solynta",,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1300- 3000 m.a.s.l AEZ: UH1-3, LH1- 3,UM1-3 Sites:Nyandarua, Meru, Bomet, Narok, Nakuru, Kericho, Laikipia, Kiambu, Uasin Gishu,",,,,,,,,,"Agventure BV, Dreijenlaan 2, 6703 HA,Wagenin gen, the Netherlands Doing business as: Solynta",,,,,,,,,,,,,,, Delivered as True Potato Seeds  Highly resistant to Late Blight  Oval potato with yellow skin and medium yellow flesh that is well,,30-40,,,,,,,,,,37. SOLHY0 15,,,,,,,,,2024,,,,,,,,,,,
IRISH POTATO,"Solanum tuberosum L.
a",44,,,,,,,,,,,,3.5-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agrico East Africa Ltd.,,,,,,,,,,,,,,,,,,,,,,,,,,,"Altitude: 1300- 3000 m.a.s.l AEZ: UH1-3, LH1- 3,UM1-3 Sites:Nyandarua, Meru, Bomet, Narok, Nakuru, Kericho, Laikipia, Kiambu, Uasin Gishu, Nyeri,Elgeyo- Marakwet",,,,,,,,,Agrico U.A,,,,,,,,,,,,,,, Processing:crisps  High dry matter 24%  Processing quality also after long storage Strong canopy  Round oval tuber shape with shallow eyes,,52-72,,,,,,,,,,38. NAPOLE ON,,,,,,,,,2024,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,4-5,,,,,,,,,,5-7,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co/KARI.,,,,,,,,,,,,,,H512,,,,,,,,,,,,,1200-1600,,,,,,,,,,Kenya Seed Co/KARI.,,,,,,,,,,,,,, Large kernels,,,,,,,,,,,,,,1. H512,,,1970,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,4-5,,,,,,,,,,5-7,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co. Ltd,,,,,,,,,,,,,,CCM,,,,,,,,,,,,,1-1200,,,,,,,,,,Kenya Seed Co/KARI,,,,,,,,,,,,,, Heat tolerant,,,,,,,,,,,,,,2. CCM,,,1974,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,6-8,,,,,,,,,,8-10,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co/KARI,,,,,,,,,,,,,,H625,,,,,,,,,,,,,1500-2100,,,,,,,,,,KARI/Ken ya Seed Co.,,,,,,,,,,,,,, Prolific Good husk cover,,,,,,,,,,,,,,3. H625,,,1981,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,6-9,,,,,,,,,,8-10,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co. Ltd /K.A.R.I-,,,,,,,,,,,,,,H614 D,,,,,,,,,,,,,1500-2100,,,,,,,,,,Kenya Seed Co/ KARI,,,,,,,,,,,,,, Stable over locations and seasons Semi flint,,,,,,,,,,,,,,4. H614D,,,1986,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,6-9,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Company,,,,,,,,,,,,,,H611 D,,,,,,,,,,,,,1700-2400,,,,,,,,,,KARI/Ken ya Seed Company,,,,,,,,,,,,,, Frost tolerant,,,,,,,,,,,,,,5. H611D,,,1986,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,6-8,,,,,,,,,,7.8,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Company,,,,,,,,,,,,,,H612 D,,,,,,,,,,,,,1500-2100,,,,,,,,,,KARI/Ken ya Seed Company,,,,,,,,,,,,,, Semi flint,,,,,,,,,,,,,,6. H612D,,,1986,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,6-8,,,,,,,,,,8-10,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Company,,,,,,,,,,,,,,H613 D,,,,,,,,,,,,,1500-2100,,,,,,,,,,KARI/Ken ya Seed Company,,,,,,,,,,,,,, Semi flint,,,,,,,,,,,,,,7. H613D,,,1986,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,5-7,,,,,,,,,,6-8,,,,,,,,,,,,,,,,,,,,,KARI/Kenya Seed Co.,,,,,,,,,,,,,,H632,,,,,,,,,,,,,1200-1700,,,,,,,,,,KARI/Ken ya Seed Co.,,,,,,,,,,,,,, Large kernels Dent,,,,,,,,,,,,,,8. H632,,,1964,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,5-7,,,,,,,,,,6-8,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co/KARI.,,,,,,,,,,,,,,H622,,,,,,,,,,,,,1200 - 1700,,,,,,,,,,Kenya Seed Co/KARI,,,,,,,,,,,,,, Large kernels Dent,,,,,,,,,,,,,,9. H622,,,1965,,,,,,,,,,,,,,,
MAIZE,"Zea mays L.
Variety Offici Year Owner",45,,,,,,,,,,,,4-5,,,,,,,,,,6-4,,,,,,,,,,,,,,,,,,,,,Kenya Seed Co/KARI.,,,,,,,,,,,,,,H511,,,,,,,,,,,,,1000 - 1500,,,,,,,,,,Kenya Seed Co/KARI,,,,,,,,,,,,,, Medium maturity,,,,,,,,,,,,,,10. H511,,,1967,,,,,,,,,,,,,,,
