Crop_Name,S/N,Variety Name,Original Name,National Code,Origin/Source,Developing Institute,Collaborating Institute,Breeder/ Collaborating Scientists,Outstanding Characteristics/ Potential Yields,Agro- Ecological Zones,Year of Release,Year of Registry,_page
Cassava,1,NICASS 1,TMS-30572 (Idi- Oshe),NGME 91-1,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1984,1991,1
Cassava,2,NICASS 2,TMS-4(2)-1425,NGME 91-2,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,"High yielding, low cyanide",,1986,1991,1
Cassava,3,NICASS 3,TMS-90257,NGME 96-3,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,"Early bulking, high yielding",,1986,1996,1
Cassava,4,NICASS 4,TMS-84537,NGME 96-4,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,5,NICASS 5,TMS-82/00058,NGME 96-5,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,6,NICASS 6,TMS-82/00661,NGME 96-6,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,7,NICASS 7,TMS-81/00110,NGME 96-7,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High yielding,,1986,1996,1
Cassava,8,NICASS 8,MS-6 (Antiota),NGME 96-8,"IAR&T, Ibadan","IAR&T, Ibadan",,"Dr. T. A. Akinlosotun, Dr. J.O.S. Kogbe & Dr. M.O. Omidiji","Non-branching, high yielding, resistant to pest and diseases, low cyanide, good gari and lafun.",,1986,1996,1
Cassava,9,NICASS 9,MS-3 (Odongbo),NGME 96-9,"IAR&T, Ibadan","IAR&T, Ibadan",,"Dr. T. A. Akinlosotun, Dr. J.O.S. Kogbe & Dr. M.O. Omidiji","Non-branching, high dry matter, good gari qualities, keeps well in the soil. Good for mixed cropping,",,1986,1996,1
Cassava,10,NICASS 10,TMS-30555,NGME 96-10,"IAR&T, Ibadan","IAR&T, Ibadan",,Dr. S. K. Hahn,Moderate yielding,,1976,1996,1
Cassava,11,NICASS 11,NR-8208,NGME 96-11,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1988,1996,1
Cassava,12,NICASS 12,NR-8083,NGME 96-12,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1986,1996,1
Cassava,13,NICASS 13,NR-83107,NGME 96-13,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High resistance to pests and diseases.,,1989,1996,1
Cassava,14,NICASS 14,NR-8082,NGME 96-14,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,Very high yielding and resistant to pests and diseases.,,1986,1996,1
Cassava,15,NICASS 15,TMS-50395,NGME 96-15,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,High biomass,,1986,1996,1
Cassava,16,NICASS 16,NR-8212,NGME 96-16,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1986,1996,1
Cassava,17,NICASS 17,NR-41044,NGME 96-17,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L. S. O. Ene,High yielding,,1986,1996,1
Cassava,18,NICASS 18,TMS-30001,NGME 96-18,IITA Ibadan,IITA Ibadan,,Dr. S. K. Hahn,Moderate yielding,,1986,1996,1
Cassava,19,NICASS 19,TMS-91934,NGME 96-19,"IITA, Ibadan","IITA, Ibadan",,Dr. S.K. Hahn,High yielding,,1986,1996,1
Cassava,20,NICASS 20,TME-419,NGME 05-20,IITA Ibadan,IITA Ibadan,,"Dr. A.G.O. Dixon, Dr. Egesi, Dr. F.O. Ogbe, Prof. Akoroda & Dr. E. Okoro.","High yield, resistant to CMD",,2005,2005,1
Cassava,21,NICASS 21,TMS 97/2205,NGME 05-21,IITA Ibadan,IITA Ibadan,,"Dr. A.G.O. Dixon, Dr. Egesi, Dr. F.O. Ogbe, Prof. Akoroda & Dr. E. Okoro.","High yield, resistant to CMD",,2005,2005,1
Cassava,22,NICASS 22,TMS 98/0505,NGME 05-22,IITA Ibadan,IITA Ibadan,,"Dr. A.G.O. Dixon, Dr. Egesi, Dr. F.O. Ogbe, Prof. Akoroda & Dr. E. Okoro.","High yield, resistant to CMD",,2005,2005,1
Cassava,23,NICASS 23,TMS 98/0510,NGME 05-23,IITA Ibadan,IITA Ibadan,,"Dr. A.G.O. Dixon, Dr. Egesi, Dr. F.O. Ogbe, Prof. Akoroda & Dr. E. Okoro.","High yield, resistant to CMD",,2005,2005,1
Cassava,24,NICASS 24,TMS 98/0581,NGME 05-24,IITA Ibadan,IITA Ibadan,,"Dr. A.G.O. Dixon, Dr. Egesi, Dr. F.O. Ogbe, Prof. Akoroda & Dr. E. Okoro.","High yield, resistant to CMD",,2005,2005,2
Cassava,25,NICASS 25,NR 87184,NGME 06-25,"NRCRI, Umudike","NRCRI, Umudike/RMRDC, Abuja",,"Dr. L.S.O. Ene, Dr. C. Egesi, Dr. F. O. Ogbe, Dr. T.N.C. Echendu, Dr. B. Maziya-Dixon, Dr. U.J. Ukpabi & Dr. E. Oti.","Early maturing, high yielding, suitable for food and industry (34.6t/ha)",,2006,2006,2
Cassava,26,NICASS 26,TMS 92/0057,NGME 06-26,IITA,IITA/NRCRI Umudike,,"Dr. A.G.O .Dixon, Dr. C. Egesi, Dr. F.O. Ogbe, Dr. T.N.C. Echendu, Dr. B. Maziya-Dixon, Dr. U.J. Ukpabi & Dr. E. Oti.","Fairly suitable for mixed cropping, high yielding, suitable for food and industry (37.7t/ha)",,2006,2006,2
Cassava,27,NICASS 27,TMS 92/0326,NGME 06-27,IITA,"IITA, NRCRI Umudike and RMRDC Abuja",,"Dr. A.G.O. Dixon, Dr. C. Egesi, Dr. F.O. Ogbe, Dr. T.N.C. Echendu, Dr. B. Maziya-Dixon, Dr. U.J. Ukpabi & Dr. E. Oti.","Early maturing, suitable for mixed cropping, high yielding, suitable for food and industry (39.5t/ha)",,2006,2006,2
Cassava,28,NICASS 28,TMS 96/1632,NGME 06-28,IITA,"IITA, NRCRI Umudike",,"Dr. A.G.O. Dixon, Dr. C. Egesi, Dr. F.O. Ogbe, Prof. M.O. Akoroda & Dr. E. Okoro.","Fairly suitable for mixed cropping, high yielding, suitable for food and industry (43.2t/ha)",,2006,2006,2
Cassava,29,NICASS 29,TMS 98/0002,NGME 06-29,IITA,"IITA, NRCRI Umudike and RMRDC Abuja",,"Dr. A.G.O. Dixon, Dr. C. Egesi, Dr. F.O. Ogbe, Prof. M.O. Akoroda & Dr. E. Okoro.","Early maturing, fairly suitable for mixed cropping, high yielding, suitable for food and industry (48.4t/ha)",,2006,2006,2
Cassava,30,NICASS 30,NR 93/0199,NGME 08-30,"NRCRI, Umudike","NRCRI, Umudike",,Dr. L.S.O. Ene,Very suitable for food and industry,,2008,2008,2
Cassava,31,NICASS 31,TMS 96/1089A,NGME 08-31,IITA,"IITA, NRCRI Umudike",,Dr. A.G.O. Dixon,"Contains moderate level of beta-carotene, high yielding, suitable for food and industry",,2008,2008,2
Cassava,32,UMUCASS 32,NR 01/0004,NGME-10-32,"NRCRI, Umudike","NCRI, Umudike",,"Dr. Chiedozie N. Egesi, Dr. E. Okogbenin, Dr. F.O. Ogbe, Dr. O.N. Eke-Okoro & Mrs. Sally Njoku","Early maturing, moderately suitable for intercropping, high yielding, suitable for food and industry and tolerance to drought. (48.4t/ha)",Southern and Northern Guinea Savanna,2010,2010,2
Cassava,33,UMUCASS 33,CR 41-10,NGME-10-33,"CIAT, Colombia","NCRI, Umudike",,"Dr. Martin Fregene, Dr. Emmanuel Okogbenin, Dr. Chiedozie N. Egesi, Dr. F.O. Ogbe & Dr. O.N. Eke-Okoro","Very suitable for intercropping, early maturing, high yielding, suitable for food and industry and tolerance to acidic soils. (46.4t/ha)",Southern and Northern Guinea Savanna,2010,2010,2
Cassava,34,UMUCASS 34,TMS 01/0040,NGME-10-34,"IITA, Ibadan","NRCRI, Umudike",,"Dr. A.G.O. Dixon, Dr. Chiedozie N. Egesi, Dr. Emmanuel Okogbenin, Mr. Paul Ilona, Dr. Peter, Kulakow, Dr. F.O. Ogbe & Dr. O. N. Eke-Okoro","Moderate branching that can smother weeds, early maturing, high yielding, suitable for food and industry. (51.7t/ha)",Southern and Northern Guinea Savanna,2010,2010,3
Cassava,35,UMUCASS 35,TMS 00/0203,NGME-10-35,"IITA, Ibadan","NRCRI, Umudike",,"Dr. A.G.O. Dixon, Dr. Chiedozie N. Egesi, Dr. Emmanuel Okogbenin, Mr. Paul Ilona, Dr. Peter, Kulakow, Dr. F.O. Ogbe & Dr. O. N. Eke-Okoro","Suitable for smothering weeds in sole cropping, early maturing, high yielding, suitable for food and industry. (43.3t/ha)",Southern and Northern Guinea Savanna,2010,2010,3
Cassava,36,UMUCASS 36,IITA TMS 1011368,NGME-11-36,"IITA, Ibadan","NRCRI, Umudike",,"Alfred G.O. Dixon, Chiedozie N. Egesi, Peter Kulakow, Norbert G. Maroya, Emmanuel Okogbenin, Bunmi Olasanmi, Paul Ilona, Okechukwu N. Eke- Okoro & Salome Njoku","High beta carotene, high yield, suitable for gari and fufu, suitable for high quality cassava flour. (46.5t/ha)",Humid Forest/Savann a Ecological Zones,2011,2011,3
Cassava,37,UMUCASS 37,IITA TMS 1011412,NGME-11-37,"IITA, Ibadan","NRCRI, Umudike",,"Alfred G.O. Dixon, Chiedozie N. Egesi, Peter Kulakow, Norbert G. Maroya, Emmanuel Okogbenin, Bunmi Olasanmi, Paul Ilona, Okechukwu N. Eke- Okoro & Salome Njoku","High beta carotene, high yielding, suitable for gari and fufu, broad adaptation. (59.1t/ha)",Southern and Northern Guinea Savanna,2011,2011,3
Cassava,38,UMUCASS 38,IITA TMS 1011371,NGME-11-38,"IITA, Ibadan","NRCRI, Umudike",,"Alfred G.O. Dixon, Chiedozie N. Egesi, Peter Kulakow, Norbert G. Maroya, Emmanuel Okogbenin, Bunmi Olasanmi, Paul Ilona, Okechukwu N. Eke- Okoro & Salome Njoku","High beta carotene, suitable for gari and fufu, suitable for high quality cassava flour. (39.3t/ha)",Southern and Northern Guinea Savanna,2011,2011,3
Cassava,39,UMUCASS 39,NR 03/0211,NGME-11-39,"NRCRI, Umudike","NRCRI, Umudike",,"Chiedozie N. Egesi, Emmanuel Okogbenin, Bunmi Olasanmi, Peter Kulakow, Okechukwu N. Eke-Okoro Salome Njoku & Joseph Onyeka","Early maturing, high yielding, high starch yield, suitable for high quality cassava flour. (42.5t/ha)",Southern and Northern Guinea Savanna,2011,2011,3
Cassava,40,UMUCASS 40,NR 03/0155,NGME-11-40,"NRCRI, Umudike","NRCRI, Umudike",,"Chiedozie N. Egesi, Emmanuel Okogbenin, Bunmi Olasanmi, Peter Kulakow, Okechukwu N. Eke-Okoro Salome Njoku & Joseph Onyeka","Early maturing, high yielding, suitable for gari and fufu, tolerance to drought. (53.7t/ha)",Southern and Northern Guinea Savanna,2011,2011,4
Cassava,41,UMUCASS 41,CR 36-5,NGME-12-41,"International Center for Tropical Agriculture (CIAT), Cali, Colombia.","NRCRI, Umudike",,"Martin Fregene, Emmanuel Okogbenin, Chiedozie N. Egesi, Bunmi Olasanmi, Olalekan Akinbo, Peter Kulakow, Okechukwu N. Eke-Okoro, Salome Njoku & Joseph Onyeka","High starch yield, high dry matter, erect plant type suitable for intercropping and dense population in plantations and suitable for gari and fufu. (42t/ha)",Southern and Northern Guinea Savanna,2012,2012,4
Cassava,42,UMUCASS 42,IITA TMS I 982132,NGME-12-42,"IITA, Ibadan","IITA, Ibadan, NRCRI, Umudike",,"Peter Kulakow, Alfred Dixon, Chiedozie N. Egesi, Emmanuel Okogbenin, Bunmi Olasanmi, Paul Ilona, Elizabeth Parkes, Okechukwu N. Eke- Okoro, Salome Njoku and Joseph Onyeka","High root yield, high dry matter and moderate carotene content. (49.5t/ha)",Rainforest and Southern Guinea Savanna,2012,2012,4
Cassava,43,UMUCASS 43,IITA TMS I011206,NGME-12-43,"IITA, Ibadan","IITA, Ibadan, NRCRI, Umudike",,"Peter Kulakow, Alfred Dixon, Chiedozie N. Egesi, Emmanuel Okogbenin, Bunmi Olasanmi, Paul Ilona, Elizabeth Parkes, Okechukwu N. Eke- Okoro, Salome Njoku and Joseph Onyeka","High root yield, high dry matter content, drought tolerance (leaf retention in dry season), and suitability for high quality cassava flour due to low fibre content and high starch of dry roots. (53t/ha)",Rainforest and Northern Guinea Savanna,2012,2012,4
Cassava,44,UMUCASS 44,NR 07/0220,NGME-14-44,"NRCRI, Umudike","NRCRI, Umudike/IITA, Ibadan",,"Chiedozie N. Egesi, Emmanuel Okogbenin, Bunmi Olasanmi, Peter Kulakow, Damian Njoku, Paul Ilona, Elizabeth Parkes, Okechukwu N. Eke- Okoro, Salome Njoku, Joseph Onyeka & Adeyemi Olojede",High beta carotene content and high yielding. (36t/ha),Rainforest and Southern Guinea Savanna,2014,2014,4
Cassava,45,UMUCASS 45,IITA TMS I 07/059,3NGME-14-45,"IITA, Ibadan","IITA, Ibadan/NRCRI, Umudike",,"Peter Kulakow, Alfred Dixon, Elizabeth Parkes, Chiedozie N. Egesi, Bunmi Olasanmi, Paul Ilona, Okechukwu N. Eke- Okoro, Salome Njoku & Joseph Onyeka",High carotene content and high yielding. (34t/ha),Rainforest and Southern Guinea Savanna,2014,2014,4
Cassava,46,UMUCASS 46,IITA TMS I 07/053,9NGME-14-46,"IITA, Ibadan","IITA, Ibadan/NRCRI, Umudike",,"Peter Kulakow, Alfred Dixon, Elizabeth Parkes, Chiedozie N. Egesi, Bunmi Olasanmi, Paul Ilona, Okechukwu N. Eke- Okoro, Salome Njoku & Joseph Onyeka",High carotene content and high yielding. (32t/ha),Rainforest and Southern Guinea Savanna,2014,2014,5
Cassava,47,UMUCASS 47 (GAME CHANGER),TMS13F1160P000,4NGME-20-47,"IITA, Ibadan","IITA, Ibadan/NRCRI, Umudike",,"Peter Kulakow, Alfred Dixon, Ismail Rabbi, Elizabeth Parkes, Njoku Damian, Chiedozie N. Egesi, Busie Maziya-Dixon, Bela Teekan, Tessy Madu and Ugo Chijioke.","High starch, dry matter content and high fresh root yield. (39.2t/ha)",Rainforest and Southern Guinea Savannah,2020,2020,5
Cassava,48,UMUCASS 48 (OBASANJO-2),TMS13F1343P002,2NGME-20-48,"IITA, Ibadan","IITA, Ibadan/NRCRI, Umudike",,"Peter Kulakow, Alfred Dixon, Ismail Rabbi, Elizabeth Parkes, Njoku Damian, Chiedozie N. Egesi, Busie Maziya-Dixon, Bela Teekan, Tessy Madu and Ugo Chijioke.","High starch, dry matter content and high fresh root yield and good for flour. (38.7t/ha)",Rainforest and Southern Guinea Savannah,2020,2020,5
Cassava,49,UMUCASS 49 (HOPE),NR130124,NGME-20-49,"NRCRI, Umudike","NRCRI, Umudike/IITA, Ibadan",,"Chiedozie N. Egesi, Damian Njoku, L. Jiwuba, Peter Kulakow, Ismail Rabbi, Elizabeth Parkes, Joseph Onyeka, Tessy Madu, Ugo Chijioke and Bela Teeken.",High fresh root yield. Excellent gari and fufu quantity and quality. (40.1t/ha),Rainforest and Southern Guinea Savannah,2020,2020,5
Cassava,50,UMUCASS 50 (BABA-70),IITA-TMS-IBA0007,0NGME-20-50,"IITA, Ibadan","IITA, Ibadan/NRCRI, Umudike",,"Peter Kulakow, Alfred Dixon, Ismail Rabbi, Elizabeth Parkes, Njoku Damian, Chiedozie N. Egesi, Busie Maziya-Dixon, Bela Teekan, Tessy Madu and Ugo Chijioke.",High fresh root yield. Excellent gari and fufu quality. (37.5t/ha),Rainforest and Southern Guinea Savannah,2020,2020,5
Cassava,51,UMUCASS 51 (POUNDABLE),TMEB693,NGME-20-51,"IITA, Ibadan","IITA, Ibadan/NRCRI, Umudike",,"Afred Dixon, Chiedozie N. Egesi, Peter Kulakow, Damian Njoku, Ismail Rabbi, Elizabeth Parkes, Charles Amadi, Mercy Diebiru-Ojo, Maria Okoro, Joseph Onyeka and Busie Maziya- Dixon","Poundable, mealy, low cyanogenic potential and high dry matter. (26t/ha)",Rainforest and Southern Guinea Savannah,2020,2020,5
Cassava,52,UMUCASS 52 (HEADMASTER),IBA154810,NGME-22-52,"IITA, Ibadan","IITA, Ibadan",,"Chiedozie N. Egesi,Elizabeth Parkes, Njoku Damian, Ismail Rabbi, Mercy Diebiru-Ojo, Peter Kulakow, BusieMaziya- Dixon, Bela Teeken, Joseph Onyeka,TessyMadu, Ugo Chijioke, Prasad Pateti, Afolabi Agbona and Ezenwanyi Uba","High fresh root yield, high dry matter content and hightotal carotenoid content (16.86 ug/g FW). 51.6 t/ha",Rain Forest to Southern Guinea Savanna,2022,2022,6
Cassava,53,UMUCASS 53 (SECURITY),IKN130010,NGME-22-53,"IITA, Ibadan","IITA, Ibadan",,"Chiedozie N. Egesi,Elizabeth Parkes, Njoku Damian, Ismail Rabbi, Mercy Diebiru-Ojo, Peter Kulakow, BusieMaziya- Dixon, Bela Teeken, Joseph Onyeka,TessyMadu, Ugo Chijioke, Prasad Pateti, Afolabi Agbona and Ezenwanyi Uba","High fresh root yield, high dry matter content and hightotal carotenoid content (15.58 ug/g FW). 51.6 t/ha",Rain Forest,2022,2022,6
Cassava,54,UMUCASS 54 (NO- HUNGER),IBA164773,NGME-22-54,"IITA, Ibadan","IITA, Ibadan",,"Chiedozie N. Egesi,Elizabeth Parkes, Njoku Damian, Ismail Rabbi, Mercy Diebiru-Ojo, Peter Kulakow, BusieMaziya- Dixon, Bela Teeken, Joseph Onyeka,TessyMadu, Ugo Chijioke, Prasad Pateti, Afolabi Agbona and Ezenwanyi Uba","High fresh root yield, high dry matter content and hightotal carotenoid content (15.65 ug/g FW). 45.8 t/ha",Rain Forest to Southern Guinea Savanna,2022,2022,6
Cassava,55,UMUCASS 55 (Renewed Hope),TMS14F1036P00 07,NGME-24-55,"IITA, Ibadan","NRCRI, Umudike & IITA, Ibadan",,"C.N. Egesi, F. Okeakpu, D. Njoku, L. Jiwuba, P. Kulakow, U.O. Ekanem, E.G. Mbanjo, E. Parkes, I.Y. Rabbi, J. Onyeka, B. Teeken, T. Madu, P. Iluebbey, A.S. Ikpan, B. Abolore, U. Chijioke, O.D. Nwanze, S. Onwuka & M. Diebiru- Ojo","Good plant architecture, high yielding (45.7t/ha), and high dry matter content (37%)","Humid Forest, Derived Savanna and Guinea Savanna.",2024,2024,6
Cassava,56,UMUCASS 56 (Biggie),TMS17F1387P00 08,NGME-24-56,"IITA, Ibadan","NRCRI, Umudike & IITA, Ibadan",,"C.N. Egesi, F. Okeakpu, D. Njoku, L. Jiwuba, P. Kulakow, U.O. Ekanem, E.G. Mbanjo, E. Parkes, I.Y. Rabbi, J. Onyeka, B. Teeken, T. Madu, P. Iluebbey, A.S. Ikpan, B. Abolore, U. Chijioke, O.D. Nwanze, S. Onwuka, M. Diebiru- Ojo, B. Okoye & P. Peteti","High vigorous, high yield (48.55t/ha), good plant architecture for mechanization and high- density planting, slightly poundable, high dry matter (36.6%) and starch content (28.8%). (48.6t/ha)","Humid Forest, Derived Savanna and Guinea Savanna.",2024,2024,7
Castor,57,NCRICAS1,Acc001,NGRC 19-1,"NCRI, Badeggi","NCRI, Badeggi",,"B.Z. Salihu, O.A. Falusi, A.S. Gana, I.A. Yusuf, A.K. Gana, D.J. Nwosu, B.O. Apuyor, M.A. Kabaraini, T. Gadeyan & I. Salihu",High seed yield and large endosperm. (1.7t/ha),Guinea savanna ecology,2019,2019,7
Castor,58,NCRICAS2,Acc036M2,NGRC 19-2,"NCRI, Badeggi","NCRI, Badeggi",,"B.Z. Salihu, O.A. Falusi, A.S. Gana, I.A. Yusuf, A.K. Gana, D.J. Nwosu, B.O. Apuyor, M.A. Kabaraini, T. Gadeyan & I. Salihu","High yield, high oil content, early maturity and good oil physicochemical properties (oil content - 54.05%, specific gravity- 0.968, Refractive index - 1.479, Acid value - 1.423 (mgNaOH/g), Iodine value - 86.93 (mgNa2SO3/g), Sabonification value - 183.47 (mgKOH/g). (1.9t/ha)",Guinea savanna ecology,2019,2019,7
Castor,59,SAMCAS 1,IAR-CAS-028,NGRC 24-3,"IAR, Samaru, Zaria","IAR, Samaru, Zaria",,"M. Oyekunle, R. A. Sami, A. Usman, C.A. Echekwu, M. Usman and S. M. Bugaje",High seed yield and oil content (46.97%) (3.2 t/ha),Northern Guinea and Sudan Savanna ecologies,2024,2024,7
Castor,60,NCRICAS3,CASPampo-1,NGRC 24-4,"NCRI, Badeggi","NCRI, Badeggi","Federal University of Agriculture, Abeokuta and Bauchi State ADP.","B.Z, Salihu, M.N. Ishaq, A.E. Isong, F. Umar, A.A. Ajadi, O.F. Ajaye, V.I.O. Olowe, A.Z. Saleh, B.O. Apuyor, M.A. Kabaraini, M.S. Salahu, I.G. Muhammed, S.T. Gbadeyan & M. Yusuf.",High seed yield and large endosperm. (2.1t/ha),Rainforest and Savanna,2024,2024,7
Castor,61,NCRICAS4,CASOgbo-20AC,NGRC 24-5,"NCRI, Badeggi","NCRI, Badeggi","Federal University of Agriculture, Abeokuta and Bauchi State ADP.","B.Z, Salihu, M.N. Ishaq, A.E. Isong, F. Umar, A.A. Ajadi, O.F. Ajaye, V.I.O. Olowe, A.Z. Saleh, B.O. Apuyor, M.A. Kabaraini, M.S. Salahu, I.G. Muhammed, S.T. Gbadeyan & M. Yusuf.","High seed yield, high oil content and large endosperm. (1.8t/ha)",Derived and Guinea Savanna,2024,2024,8
Cotton,62,SAMCOT-1,SAMMARU-260,NGGS 91-1,I.A.R. SAMARU,I.A.R. SAMARU,,,"General adaptation, good yield. (1-1.12t/ha)",Guinea and Savanna Zones,1937,1991,8
Cotton,63,SAMCOT-2,SAMMARU-261,NGGS 91-2,I.A.R. SAMARU,I.A.R. SAMARU,,,"General adaptation, better yield than SAMCOT-1, higher grinning percentage. (1- 1.5t/ha)",Guinea and Savanna Zones,1959,1991,8
Cotton,64,SAMCOT-3,SAMMARU-68,NGGS 91-3,I.A.R. SAMARU,I.A.R. SAMARU,,,"Improved yield and lint, has longer staple than SAMCOT-2, slightly above 2.54cm. (2- 2.5t/ha)","Derived Savanna, Northern and Southern Guinea Savanna",1968,1991,8
Cotton,65,SAMCOT-4,SAMMARU-69,NGGS 91-4,I.A.R. SAMARU,I.A.R. SAMARU,,,Improved yield. (1- 1.5t/ha),Southern and Northern Guinea Savanna,1969,1991,8
Cotton,66,SAMCOT-5,SAMMARU-70,NGGS 91-5,I.A.R. SAMARU,I.A.R. SAMARU,,,Improved yield and better quality characteristic. (1.5- 2t/ha),Forest Transition and Derived Savanna,1970,1991,8
Cotton,67,SAMCOT-6,SAMMARU-71,NGGS 91-6,I.A.R. SAMARU,I.A.R. SAMARU,,,"High yielding, good grinning percentage, classified as short staple cotton. (2-2.5t/ha)","Northern and Southern Guinea Savanna, Sudan Savanna, Sahel Savanna",1971,1991,8
Cotton,68,SAMCOT-7,SAMMARU-72,NGGS 91-7,"IAR, Samaru","IAR, Samaru",,,"High yielding, earlier than SAMCOT-5, classified as medium staple cotton (1.3cm - 3.3cm). (1.5-2t/ha)",Forest Transition and Derived Savanna,1972,1991,8
Cotton,69,SAMCOT-8,SAMMARU-77,NGGS 91-8,I.A.R. SAMARU,I.A.R. SAMARU,,,"Improved yield, classified medium staple (1.3cm - 3cm). (1.5-2t/ha)",Forest Transition and Derived Savanna,1977,1991,8
Cotton,70,SAMCOT-11,BAR XL4 (79)36,NGGS 03-9,I.A.R. SAMARU,IAR/ABU Zaria,,,Long Staple,Humid Forest,2003,2003,8
Cotton,71,SAMCOT-12,PIMAS,NGGS 03-10,I.A.R. SAMARU,IAR/ABU Zaria,,,Long Staple,"Northern and Southern Guinea Savanna, Sudan Savanna, Sahel Savanna",2003,2003,9
Cotton,72,SAMCOT-13,GIZA 45,NGGS 03-11,I.A.R. SAMARU,IAR/ABU Zaria,,,Long Staple,"Northern and Southern Guinea Savanna, Sudan Savanna, Sahel Savanna",2003,2003,9
Cotton,73,SAMCOT-9,RASA (74) 67,NGGS 06-12,I.A.R. SAMARU,IAR/ABU Zaria,,C.A. Echekwu & S.O. Alabi,"Medium Staple (28- 30mm), fine lint with good luster. (1.5-2t/ha)",,1989,2006,9
Cotton,74,SAMCOT-10,RASA (74) 165,NGGS 06-13,I.A.R. SAMARU,IAR/ABU Zaria,,C.A. Echekwu & S.O. Alabi,"Medium Staple (28- 30mm), fine lint with good luster. (1.5-2t/ha)",,1989,2006,9
Cotton,75,MAHYCO C 567 BGII,MRC 7377 BGII,NGGS 18-14,India,Maharashtra Hybrid Seeds Co. Pvt Ltd,,"Maharashtra Hybrid Seeds Co. Pvt Ltd, M.S. Mohammed, A.I. Yahaya, I. Onu, and C.A. Echekwe","Resistance to Bollworm complex, tolerant to sucking insect pests and high seed cotton yield. (4.4t/ha)",All cotton growing zones of Nigeria,2018,2018,9
Cotton,76,MAHYCO C 571 BGII,MRC 7361 BGII,NGGS 18-15,India,Maharashtra Hybrid Seeds Co. Pvt Ltd,,"Maharashtra Hybrid Seeds Co. Pvt Ltd, M.S. Mohammed, A.I. Yahaya, I. Onu, and C.A. Echekwe","Resistance to Bollworm complex,high seed cotton yield, early maturity, tolerant to sucking insect pests. (4.1t/ha)",All cotton growing zones of Nigeria,2018,2018,9
Cotton,77,MAHYCO C 567,MRC 7377,NGGS 20-16,India,"Mahyco Pvt Ltd, Jalna, Maharashtra, India",,"Mahyco Pvt Ltd, M.S. Mohammed, A.I. Yahaya, I. Onu, and D.I. Adekpe",High seed cotton yield and resistance to sucking insects. (3.7t/ha),"Northern Cotton Zone, North Eastern Cotton and the Rainforest of Nigeria",2020,2020,9
Cotton,78,MAHYCO C 571,MRC 7361,NGGS 20-17,India,"Mahyco Pvt Ltd, Jalna, Maharashtra, India",,"Mahyco Pvt Ltd, M.S. Mohammed, A.I. Yahaya, I. Onu, and D.I. Adekpe",High seed cotton yield and resistance to sucking insects pests. (3.6t/ha),"Northern Cotton Zone, North Eastern Cotton and the Rainforest of Nigeria",2020,2020,9
Cowpea,79,West Bred,C6956-2a,NGVU 91-1,"Florida, U. S. A.","IAR&T, Ibadan",,Ojomo O. A. & Fennel M.,"Determinate, early and uniform maturity. Day length neutral, white seeded.",Rainforest Ecological Zones,1986,1991,9
Cowpea,80,Ife Brown (Irawo),Ife Brown (Irawo),NGVU 91-2,"O.A.U., Ife","IAR&T and Faculty of Agric OAU, Ile Ife",,"J. D. Frankowlak, O. A. Ojomo & L. N. Barker.","Semi erect, medium maturity. Day length neutral, brown seeded and fast cooking.",Derived Savanna and Forest Zones,1970,1991,9
Cowpea,81,Dinner,FARV-13,NGVU 91-3,Nigeria (Local selection),"F.D.A.R., Moor Plantation, Ibadan.",,U.U. Ebong & S.O. Olafare,Resistant to Septoria leaf spot,All ecological zones,1971,1991,9
Cowpea,82,Nigerian Brown 7 (NB7),Nigerian Brown 7 (NB7),NGVU 91-4,Nigeria (Local selection),"F.D.A.R., Moor Plantation, Ibadan.",,"U.U. Ebong, S.O. Olafare & M.A. Adenihun","Rough, large seeded and good swelling capacity",All ecological zones,1987,1991,10
Cowpea,83,Kudi,K-59,NGVU 91-5,Nigeria (Local selection),"NCRI, Badeggi",,"O.A. Ojomo, S.O. Olafare, M.A. Adenihun & J.A. Raji","Uniformity in flowering and maturity, pest and disease resistance",All ecological zones,1984,1991,10
Cowpea,84,K-28,K-28,NGVU 91-6,Nigeria (Local selection),"NCRI, Badeggi",,"O.A. Ojomo, S.O. Olafare, M.A. Adenihun & J.A. Raji",Very high swelling capacity of seed when cooked,All ecological zones,1985,1991,10
