Crop_Name,S/N,Variety Name,Original Name,National Code,Origin/Source,Developing Institute,Collaborating Institute,Breeder/ Collaborating Scientists,Outstanding Characteristics/ Potential Yields,Agro- Ecological Zones,Year of Release,Year of Registry,_page
Rice,492,UPIA 2,IWA 2,NGOS-13-66,International Rice Research Institute (IRRI),"University of Port Harcourt, IRRI, AGRA",,"Andrew A. Efisue, Glenn Gregorio, Olugbenga Akinwale, A.T. Maji, Francis Nwilene & C.A. Awe","High yield, long slender grains, tolerant to iron toxicity and African rice gall midge. (8.0t/ha)",Forest Transition/Deriv ed Savanna,2013,2013,55
Rice,493,UPIA 3,IWA 3,NGOS-13-67,International Rice Research Institute (IRRI),"University of Port Harcourt, IRRI, AGRA",,"Andrew A. Efisue, Glenn Gregorio, Olugbenga Akinwale, A.T. Maji, Francis Nwilene & C.A. Awe","Early maturity, high yield, long slender grains and tolerant to iron toxicity. (7.0t/ha)",Forest Transition/Deriv ed Savanna,2013,2013,55
Rice,494,FARO 63,ART3-7L9P8-3-B- B-2-1,NGOS-14-68,Africa Rice,Africa Rice Centre and NCRI,,"M. Semon, A.T. Maji, B.O. Popoola, K.K. Orou, A.E. Stanley, C.A. Awe, O. Salami & Bashir Muhammad.",Early maturity and high yielding. (6.2t/ha),Rainfed upland,2014,2014,55
Rice,495,FARO 64,ART15-7-16-38-1- B-B-2,NGOS-15-69,Africa Rice,Africa Rice Centre and NCRI,,"Semon M., Maji A. T., Popoola B. O., Orou K. K., Stanley A. E., Nwilene F.E., Togola A., Claudius - Cole A.O., Awe, C.A., Salami O., Bashir M., Oyetunji O.E., and Salam A.","Early maturing, high yielding and drought tolerance. (5.2t/ha)",Rainfed upland,2015,2015,55
Rice,496,FARO 65,ART16-5-9-22-3- B-B-2,NGOS-15-70,Africa Rice,Africa Rice Centre and NCRI,,"Semon M., Maji A. T., Popoola B. O., Orou K. K., Stanley A. E., Nwilene F.E., Togola A., Claudius - Cole A.O., Awe, C.A., Salami O., Bashir M., Oyetunji O.E., and Salam A.","Early maturing, high yielding and drought tolerance. (6.4t/ha)",Rainfed upland,2015,2015,55
Rice,497,FARO 66,ART351:12-2-B-5- B,NGOS-17-71,Africa Rice,"Africa Rice Centre and NCRI, Badeggi",,"Venuprasad R, Shittu A, Jolayemi L, Sow M, Maji A.T, Bashir M, Nwilene F.E and Salami O.","Submergence tolerant, high yielding, long and medium slender grains and moderately tolerant to iron toxicity. (6.7t/ha)",Lowland,2017,2017,55
Rice,498,FARO 67,ART350:10-2-1-B,NGOS-17-72,Africa Rice,"Africa Rice Centre and NCRI, Badeggi",,"Venuprasad R, Shittu A, Jolayemi L, Sow M, Maji A.T, Bashir M, Nwilene F.E and Salami O.","Submergence tolerant, high yielding, long and slender grains and moderately tolerant to iron toxicity. (6.7t/ha)",Lowland,2017,2017,56
Rice,499,GAWAL R1,CHAOTAN,NGOS-17-73,Green Agriculture West Africa Limited,Green Agriculture West Africa Limited,,"Zeng Mengtian, Li Tailong, Xu Guoxin, Wang Xuemin, Xu Yuanfang, Zhao Dule, Maji A.T and Bashir M.","High yielding, and tolerance to blast disease. (10.4t/ha)",Lowland rainfed and irrigated ecologies,2017,2017,56
Rice,500,Arize 6444 Gold,Arize 6444 Gold,NGOS-21-74,Pallishree Ltd Arambagh West Bengal India,"Bayer, Asian Pacific Commercial, Crop Science Division Bayer Bioscience PVT. India","NCRI, Badeggi","Y, Raj., M. Bashir, A. T. Maji, E.O. Bernard, Ahmed B., Ayodele K. Esther, A and Salami O.","High yield, long and medium slender grains and tolerance to blast and stem borer. (10 t/ha)",Lowland,2022,2022,56
Rice,501,Arize TEJ Gold,Arize TEJ Gold,NGOS-21-75,Pallishree Ltd Arambagh West Bengal India,"Bayer, Asian Pacific Commercial, Crop Science Division Bayer Bioscience PVT. India","NCRI, Badeggi","Y, Raj., M. Bashir, A. T. Maji, E.O. Bernard, Ahmed B., Ayodele K. Esther, A and Salami O.","High yield, long and slender grains, tolerant to blast and stem borer. (9.7 t/ha)",Lowland,2022,2022,56
Rice,502,FARO 68,ARS 161-3-5-5-3- B-BD,NGOS-23-76,Africa Rice Centre,"Africa Rice Centre, Cote d'lvoire & NCRI, Badeggi","National Cereals Research Institute, Badeggi, Federal University of Agriculture Abeokuta, Green Agriculture West Africa Limited (GAWAL), Abuja, Federal University Lafia, Federal University Oye-Ekiti","Yu, X., Liu, G., Kong, D., Luo, L., Xu, J., Salihu, B. Z., Ajadi, A. A, Ehirim, B. O., Isong, A. E., Umar, F. and Ajaye, O. F., Mohammed, I. G.; Gbadeyan, S. T.; Eze, J. N.; Olaniyan, O. B.; Jun, W.; Wen, J.; Adigbo, S. O.; Adeniji, O. T., Shema, A. M. and Ibrahim, A. J.",Early maturing and high yielding. (11.6t/ha),Lowland,2023,2023,56
Rice,503,Ex Badaru,Ex Badaru,NGOS-24-77,Jigawa State Agricultural Research Institute,Jigawa State Agricultural Research Institute,"National Rice & Maize Centre, Ibadan; ADP, Niger, Jigawa & Nasarawa","Bashir, M., Isong, A. E., Muhammad, M.L, Ajaye O.F, Mohammed, I.G., Damisa, D, M. Gbadeyan, S.T., Apuyor, B., Adesanya, F. and Audu, S. D.","Early maturity, high yield, high tillering(9.9t/ha)",Lowland,2024,2024,56
Rice,504,Bioseed Fiyah 549,Paddy 549,NGOS-24-78,"Bioseed Research, India",Bioseed Research India,"National Cereals Research Institute, Badeggi,National Rice & Maize Centre, Ibadan; ADP, Niger, Oyo and FCT","Kumar, Vijaya, Bhaskara Reddy P., Bashir, M., Isong, A. E., Muhammad M.L. and Ajaye, O.F",High yield and high swelling ratio(11.8t/ha),Lowland,2024,2024,56
Rice,505,Bioseed Fiyah 800,Paddy 800,NGOS-24-79,"Bioseed Research, India",Bioseed Research India,"National Cereals Research Institute, Badeggi,National Rice & Maize Centre, Ibadan; ADP, Niger, Oyo and FCT","Kumar, Vijaya, Bhaskara Reddy P., Bashir, M., Isong, A. E., Muhammad M.L. and Ajaye, O.F","High yield, high swelling ratio and long grain(11.7t/ha)",Lowland,2024,2024,57
