crop_number,crop_name_fr,crop_latin,No d'ordre,Dénomination,Nature Génétique,Nature génétique,Obtenteur/ Pays,Obtenteur / Pays,Obtenteur/ pays,Date d'inscription,Mainteneur,Aptitude au tallage,Aptitude à la conservation,Arôme du grain,Autres caractéristiques,"Autres caractéristiques (insectes, striga, maladies)",Autres carasteristiques,Couleur de la chair,Couleur de la peau,Couleur de la peau du tubercule,Couleur de la tunique du bulbe à maturité,Couleur des grains,Couleur du fruit à maturité,Couleur du grain,Couleur fibre,Couleur principale du tégument du grain,Cycle plantation (jours),Cycle plantation- maturité (jours),Cycle plantation- maturité (mois),Cycle semis - maturité (50%) (Jr),Cycle semis- maturité 1ère récolte (jours),Cycle semis- maturité à 50% (jours),Cycle semis- maturité à 95% (jours),Cycle semis- maturité à 95% des plants (jours),Cycle sémi- maturité 50% /jour,Date d'inscript ion,Densité de la panicule,Dormance des grains,Durée de conservation,Délai de brunissement de la chair après grattage,Elongation de la fibre,Epoque dehiscence première capsules(j),Espèce,Fermeté du fruit,Forme de la panicule (position de la partie la plus large),Forme de la racine turbéreuse,Forme du tubercule,Forme du turbercule en section longitudinale,Hauteur de la plante (cm),Hauteur de plant (cm),Hauteur de plante (cm),Hauteur de plante en cm,Hauteur de plants (cm),Hauteur des plants,Hauteur des plants (cm),Index de gluten,Indice micronaire,Isohyete (mm),Isohyète,Isohyète (mm),Longueur de l'épi,Longueur de la chandelle (cm),Longueur du tubercule,Longueur fibre,Nature génétiqe,Obtenteur /pays,Obtenteur/Pa ys,Photosensibilité,Poids de 100 Graines (g),Poids de 100 graines (g),Poids de 100 grains (PCG) à 15%,Poids de 100 grains (g),Poids de 1000 graines (g),Poids de 1000 grains (g),Poids des bulbes et bulbilles,Poids moyenne du fruit (g),Port de plante,Port des plants,Pourcentage de gros calibre,Reflectance,Rendeme nt potentiel (t/ha),Rendement en fanes (t/ha),Rendement en grains (t/ha),Rendement grains (t/ha),Rendement mesuré (T/Ha),Rendement mesuré (T/ha),Rendement mesuré (t/ha),Rendement potentiel (t/ha),Rendement potentiel en fanes (t/ha),Rendement égrenage (%),Résistance au striga,Résistance aux bioagresseurs,Résistance aux maladies,Résistance aux nuisibles,Résistance aux virose,Résistance à la sécheresse,Résistance à la verse,Sensibilité à la photopériode,Taille du bulbille,Taille du fruit,Tenacité de la fibre,Tendance à la montaison,Teneur en acide cyanhydrique,Teneur en huile (%),Teneur en proteine,Teneur en protéines (%),Tolérance à la sécheresse,Type de blé (dur ou tendre),Type de croissance,Type de crosissance,Type de plant,Vocation culturale,Vocation d'utilisation,Vocation d’utilisation,aptitude à la conservation,autres caractéristiques,couleur de grain (dos),couleur de la Peau,cycle semi- maturité,hauteur de la plante (cm),indice du jaune,isohyète,isohyète (mm),longueur de l'Épi,longueur du grain,rendement mesuré (T/Ha),résistance aux nuisibles,résistance à la sécheresse,tolérance à la secheresse,type de grain,vocation culturale
9,NIÉBÉ,Vigna unguiculata (L.,1,CZ16-3-71,Lignée,,IER/MLI,,,,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,erigé,,,,,,1.8,,,,,,2.2,,,,,tolerant,,,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,2,CZ16-1-1-147,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,19,,,,,,,semi erigé,,,,,,1.5,,,,,,2.5,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,3,CZ16-6-56,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,erigé,,,,,,1.5,,,,,,2.7,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,4,CZ16-4-2-3,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,16,,,,,,,semi erigé,,,,,,1.8,,,,,,3,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,5,CZ16-2-2-8,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,semi erigé,,,,,,1.8,,,,,,2.5,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,6,CZ16-2-2-23,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,19,,,,,,,semi erigé,,,,,,"2,3",,,,,,3,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,7,KT2-23-5,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,semi erigé,,,,,,"2,2",,,,,,2.3,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,8,KT1-44-8,Lignée,,IER/MLI,,,2022,IER/MLI,,,,,,,,,,,,,blanc,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,18,,,,,,,semi erigé,,,,,,"1,8",,,,,,2,,tolérant,,,tolerant,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,9,ARTPEA-204B (Modupe),Lignée,,IAR&T Nigeria,,,2022,"IAR&T, NGA",,,,,,,,,,,,,brown,,,,,,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,1000- 1800,,,,,,,,,,17,,,,,,,speading,,,,,,2,,,,,,4.5,,tolérant,,,Sensible,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,10,ARTPEA/BBT/2 2/W (BOLUYO),Lignée,,IAR&T Nigeria,,,2022,"IAR&T, NGA",,,,,,,,,,,,,white,,,,,,,,,65,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-1800,,,,,,,,,,15,,,,,,,erect,,,,,,1,,,,,,4,,tolerant,,,Sensible,,tolerant,,insensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,11,ARTPEA/BBT/7 2/B,Lignée,,IAR&T Nigeria,,,2022,"IAR&T, NGA",,,,,,,,,,,,,brown,,,,,,,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,1000-1800,,,,,,,,,,15,,,,,,,erect,,,,,,1,,,,,,4.2,,tolerant,,,Sensible,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,12,FUAMPEA 3,Lignée,,FUAM Nigeria,,,2022,"FUAM, NGA",,,,,,,,,,,,,brown,,,,,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,800-1000,,,,,,,,,,28,,,,,,,Semi-erect,,,,,,2.6,,,,,,3.5,,resistant,,,Sensible,,tolerant,,aphotique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,13,FUAMPEA 4,Lignée,,FUAM Nigeria,,,2022,"FUAM, NGA",,,,,,,,,,,,,browm,,,,,,,,,85,,,,,,,,,,,,,,,,,,,,,,,,,,,800-1000,,,,,,,,,,30,,,,,,,Semi-erect,,,,,,2.4,,,,,,4,,resistant,,,Sensible,,tolerant,,sensitive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,NIÉBÉ,Vigna unguiculata (L.,14,SAMPEA 21,Lignée,,IITA & IAR Nigeria,,,2022,"IAR IAR, SAMARU,",,,,,,,,,,,,,white,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,600-1000,,,,,,,,,,19,,,,,,,Semi-erect,,,,,,2,,,,,,3.1,,resistant,,,Sensible,,tolerant,,indifférente,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,1,TATA JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune foncée,,,,,,90,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,98,,,,,,,,,,,,,32,,,,,,Tolérante,,,,,Moyen,,,Faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,2,DAOU JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune,,,,,,90,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,100,,,,,,,,,,,,,36,,,,,,Tolérante,,,,,Moyen,,,Nulle ou très faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,3,SABOULA JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,115,,,,,,,,,,,,,38,,,,,,Tolérante,,,,,Petit,,,Nulle ou très faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,4,ESPAGNE JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Brune,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,72,,,,,,,,,,,,,35,,,,,,Sensible,,,,,Petit,,,Forte,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,5,SAFIATOU JABA,Lignée,,IER/MLI,,,2022,IER/MLI,,Bonne,,,,,,,,Blanche,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,139,,,,,,,,,,,,,39,,,,,,Tolérante,,,,,Petit,,,Faible,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,6,KADA GAW BLANC,Lignée,,IER/MLI,,,2023,IER/MLI,,Bonne,,,,,,,,Blanche,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,130,,,,,,,,,,,,,38,,,,,,Tolérante,,,,,Moyen,,,Moyenne,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
10,OIGNON,Allium cepa,7,KADA GAW ROUGE,Lignée,,IER/MLI,,,2023,IER/MLI,,Bonne,,,,,,,,Rouge,,,,,,95,,,,,,,,,,,,,,,,Echalotte,,,,,,,,,,,,,,,,,800-1200,,,,,,,,,,,,,,,120,,,,,,,,,,,,,39,,,,,,Tolérante,,,,,Moyen,,,Moyenne,,,,,,,,,,Irriguée,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,1,Tiebélé-2,,Hybride clonale,INERA / Burkina Faso,,,2014,INERA / Burkina Faso,,,,Teneur en beta-carotène élevée ; taux de matière sèche 25%,,,Orange,Jaune pâle,,,,,,,,,105,,,,,,,,,,,,,,,,,,Elliptique,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,Sensible,Modérée,,,,,,,,,,,,,,,étalée,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,2,Bagré,,Hybride clonale,INERA / Burkina Faso,,,2014,INERA / Burkina Faso,,,,Teneur en beta-carotene elevee ; taux de matiere seche 27%,,,Orange,Rouge,,,,,,,,,120,,,,,,,,,,,,,,,,,,Elliptique,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,Résistance modérée,Modérée,,,,,,,,,,,,,,,étalée,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,3,Heerè,,Hybride clonale,INERA / Burkina Faso,,,2019,INERA / Burkina Faso,,,,29% de matière sèche,,,Orange,Orange pâle,,,,,,,,,105,,,,,,,,,,,,,,,,,,Ovale,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,Resistant,Modérée,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,4,Nooma,,Hybride clonale,INERA / Burkina Faso,,,2019,INERA / Burkina Faso,,,,"29% de matière sèche, resistance modérée aux charançons",,,Orange,Orange pâle,,,,,,,,,105,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,Resistant,Modérée,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,5,Songré,,Hybride clonale,INERA / Burkina Faso,,,2019,INERA / Burkina Faso,,,,"29% de matière sèche, resistance modérée aux charançons",,,Orange,Rose,,,,,,,,,105,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,700-1200,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,Résistance modérée,Modérée,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,6,SARI-Nyoriberi- gu,,Population améliorée,CSIR-SARI,,,2022,CSIR-SARI,,,,"36,5% de matière sèche, résistant aux charançons,",,,Orange,orange brunâtre,,,,,,,,,120,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,900 - 1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,Tolerant,Tolerant to drought,,,,,,,,,,,,,,,demi-dressé,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,7,SARI-JanLow,,Population améliorée,CSIR-SARI,,,2023,CSIR-SARI,,,,"31% de matière sèche, résistant aux charançons,",,,Orange,orange brunâtre,,,,,,,,,120,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,,900 - 1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,,,Moderately tolerant,moderate,,,,,,,,,,,,,,,étalée,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,8,BEAREGARD,,Lignée,NARI/GMB,,,2022,NARI/GMB,,,,"Early Maturing ,High β- carotene content",,,orange,Intermediat e pink,,,,,,,,,70 – 100 days,,,,,,,,,,,,,,,,,,Round elliptic,,,,,,,,,,,,,,700-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.3,,,,,,,susceptable,not tolerant to draught,,,,,,,,,,,,,,,semi-erect,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,9,CRI-BOHYE,,Lignée,NARI/GMB,,,2022,NARI/GMB,,,,"High β-carotene content,",,,light orange,light orange,,,,,,,,,90 – 120 days,,,,,,,,,,,,,,,,,,Ovale,,,,,,,,,,,,,,700-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.1,,,,,,,tolarant,Tolerant to drought,,,,,,,,,,,,,,,semi-erect,,,,,,,,,,,,,,,,,,,,
11,PATATE DOUCE,Ipomoea batatas (L.,10,KANDEE,,Lignée,NARI/GMB,,,2022,NARI/GMB,,,,"4.1 High β-carotene content ,,very short (≤ 3",,,Orange,Light- Orange,,,,,,,,,100-110 days,,,,,,,,,,,,,,,,,,Round elliptic,,,,,,,,,,,,,,700-1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,64,,,,,,,moderately resistant,moderate,,,,,,,,,,,,,,,semi-erect,,,,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,1,PAMELA,,,MANOMA- SA/NER,,,2022,Germicopa-SAS,,ND,,,,,,,Rouge,,,,,,,,Moyenne,,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,ND,,,,,,,,30,,,,,,,Sensible,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Pas de delitement à la cuisson,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,2,ROSANNA,,,MANOMA- SA/NER,,,2022,Germicopa-SAS,,ND,,,,,,,Rouge,,,,,,,,Précoce,,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,ND,,,,,,,,35,,,,,,,Sensible,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Pas de delitement à la cuisson,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,3,AFRICADIE,,,SINONIE- KOOBO/BFA,,,2021,SINONIE- KOOBO/BFA,,Faible,,,,,,,Beige clair,,,,,,,,Moyenne,,,,,,,,,,,,,,,,,,,Allongée,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,81.67,,,,,,,,20.74,,,,,,,Modérée,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Bonne pour friture,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,4,BURCADIE,,,SINONIE- KOOBO/BFA,,,2021,SINONIE- KOOBO/BFA,,Faible,,,,,,,Jaune,,,,,,,,Moyenne,,,,,,,,,,,,,,,,,,,Très allongée,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,44.68,,,,,,,,27.36,,,,,,,Modérée,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Bonne pour friture,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,5,CANADA-DORÉE,,,SINONIE- KOOBO/BFA,,,2021,SINONIE- KOOBO/BFA,,Faible,,,,,,,Beige clair,,,,,,,,Moyenne,,,,,,,,,,,,,,,,,,,Oblongue allongée,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,82.86,,,,,,,,21.36,,,,,,,Modérée,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Ragout et purée,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,6,CHIEFTAIN,,,SINONIE- KOOBO/BFA,,,2021,SINONIE- KOOBO/BFA,,Faible,,,,,,,Rouge,,,,,,,,Moyenne,,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,68.87,,,,,,,,37.92,,,,,,,Modérée,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Ragout et purée,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,7,KENNEBEC,,,SINONIE- KOOBO/BFA,,,2021,SINONIE- KOOBO/BFA,,Faible,,,,,,,Beige clair,,,,,,,,Moyenne,,,,,,,,,,,,,,,,,,,Oblongue,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,71.91,,,,,,,,26.24,,,,,,,Modérée,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Ragout et purée,,,,,,,,,,,,,,,,,
12,POMME DE TERRE,Solanum tuberosum L.,8,SOLEIL,,,SINONIE- KOOBO/BFA,,,2021,SINONIE- KOOBO/BFA,,Bonne,,,,,,,Beige clair,,,,,,,,Moyenne,,,,,,,,,,,,,,,,,,,Oblongue courte,,,,,,,,,,,,,≥400,,,,,Lignée,,,,,,,,,,,,,,71.74,,,,,,,,24.06,,,,,,,Modérée,,,,,,,,,,,,,,,,,,Culture de saison sèche irriguée,,Ragout et purée,,,,,,,,,,,,,,,,,
13,RIZ,Oryza sativa L.,1,ARICA-IER 2,lignée pure,,,,,,IER/Africarice,,,absent ou faible,,,,,,,,,,brun,,,,,,,,140,,,,2022,,,,,,,,,,,,,,,128.5,,,,,,,,,800 - 1200,,,,,,,IER/Mali,,,,,,,30.69,,,,,,,,,,,,,6.5,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,bas fond,,,,,,,,,,,,,long,,,,,,
13,RIZ,Oryza sativa L.,2,ARICA-RP 1,lignée pure,,,,,,IER/Africarice,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,90,,,,2022,,,,,,,,,,,,,,,108.33,,,,,,,,,800 - 1200,,,,,,,,,,,,,,29.46,,,,,,,,,,,,,4,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,plateau,,,,,,,,,,,,,long,,,,,,
13,RIZ,Oryza sativa L.,3,ARICA-RP 4,lignée pure,,,,,,IER/Africarice,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,92,,,,2022,,,,,,,,,,,,,,,104.67,,,,,,,,,800 - 1200,,,,,,,IER/Mali,,,,,,,27.62,,,,,,,,,,,,,4.5,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,plateau,,,,,,,,,,,,,long,,,,,,
13,RIZ,Oryza sativa L.,4,ARICA-RP 5,lignée pure,,,,,,IER/Africarice,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,92,,,,2022,,,,,,,,,,,,,,,99.67,,,,,,,,,800 - 1200,,,,,,,IER/Mali,,,,,,,25.82,,,,,,,,,,,,,4,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,plateau,,,,,,,,,,,,,long,,,,,,
13,RIZ,Oryza sativa L.,5,ARIZE 6444 GOLD,Hybride,,,,,,Bayer/Bayer,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,115,,,,2022,,,,,,,,,,,,,,,110,,,,,,,,,"600-1,200",,,,,,,Bayer Nig Ltd,,,,,,,24.83,,,,,,,,,,,,,10,,,,,,,oui,,,moderate,,,,,,,,,,sensible,,,,,irrigué,,,,,,,,,,,,,très long,,,,,,
13,RIZ,Oryza sativa L.,6,ARIZE TEJ GOLD,Hybride,,,,,,Bayer/Bayer,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,110,,,,2022,,,,,,,,,,,,,,,120,,,,,,,,,600-1200,,,,,,,Bayer Nig Ltd,,,,,,,24.83,,,,,,,,,,,,,9.7,,,,,,,oui,,,moderate,,,,,,,,,,sensible,,,,,irrigué,,,,,,,,,,,,,long à très long,,,,,,
13,RIZ,Oryza sativa L.,7,DKA-M8,lignée pure,,,,,,IER,,,absent ou faible,,,,,,,,,,brun foncé,,,,,,,,148,,,,2022,,,,,,,,,,,,,,,172.44,,,,,,,,,800 - 1200,,,,,,,IER/Mali,,,,,,,27.87,,,,,,,,,,,,,5,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,bas fond,,,,,,,,,,,,,moyen,,,,,,
13,RIZ,Oryza sativa L.,8,ISRIZ 16,lignée pure,,,,,,ISRA,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,115,,,,2022,,,,,,,,,,,,,,,88,,,,,,,,,NA,,,,,,,ISRA/Sénégal,,,,,,,24,,,,,,,,,,,,,12,,,,,,,Tolérante à la pyriculariose,,,oui,,,,,,,,,,oui,,,,,irrigué,,,,,,,,,,,,,moyen,,,,,,
13,RIZ,Oryza sativa L.,9,ISRIZ 17,lignée pure,,,,,,ISRA,,,absent ou faible,,,,,,,,,,brun clair,,,,,,,,119,,,,2022,,,,,,,,,,,,,,,85,,,,,,,,,NA,,,,,,,ISRA/Sénégal,,,,,,,23.8,,,,,,,,,,,,,13,,,,,,,,,,oui,,,,,,,,,,oui,,,,,irrigué,,,,,,,,,,,,,courte,,,,,,
13,RIZ,Oryza sativa L.,10,ISRIZ-P01,lignée pure,,,,,,ISRA,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,80,,,,2022,,,,,,,,,,,,,,,96,,,,,,,,,NA,,,,,,,ISRA/Sénégal,,,,,,,24,,,,,,,,,,,,,4.5,,,,,,,,,,oui,,,,,,,,,,oui,,,,,Plateau,,,,,,,,,,,,,courte,,,,,,
13,RIZ,Oryza sativa L.,11,ISRIZ-P02,lignée pure,,,,,,ISRA,,,absent ou faible,,,,,,,,,,brun foncé,,,,,,,,79,,,,2022,,,,,,,,,,,,,,,111,,,,,,,,,NA,,,,,,,ISRA/Sénégal,,,,,,,23.3,,,,,,,,,,,,,5,,,,,,,,,,oui,,,,,,,,,,oui,,,,,Plateau,,,,,,,,,,,,,moyen,,,,,,
13,RIZ,Oryza sativa L.,12,KAFACI 2,lignée pure,,,,,,IER/KAFACI,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,134,,,,2022,,,,,,,,,,,,,,,99.67,,,,,,,,,800 - 1200,,,,,,,IER/Mali,,,,,,,24.75,,,,,,,,,,,,,6,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,bas fond,,,,,,,,,,,,,long,,,,,,
13,RIZ,Oryza sativa L.,13,KAFACI 3,lignée pure,,,,,,IER/KAFACI,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,136,,,,2022,,,,,,,,,,,,,,,109.41,,,,,,,,,800 - 1200,,,,,,,IER/Mali,,,,,,,27.35,,,,,,,,,,,,,7,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,bas fond,,,,,,,,,,,,,long,,,,,,
13,RIZ,Oryza sativa L.,14,FENGYOU 360,Hybrid,,,,,,Winall-SARL/ SDR-Mali,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,122,,,,2022,,,,,,,,,,,,,,,80,,,,,,,,,600 - 800,,,,,,,IER/Mali,,,,,,,23.9,,,,,,,,,,,,,9,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,irrigué,,,,,,,,,,,,,moyen,,,,,,
13,RIZ,Oryza sativa L.,15,WINALL 851,Hybrid,,,,,,Winall- SARL/SDR- Mali,,,absent ou faible,,,,,,,,,,blanc,,,,,,,,120,,,,2022,,,,,,,,,,,,,,,89,,,,,,,,,600 - 800,,,,,,,IER/Mali,,,,,,,21.82,,,,,,,,,,,,,9,,,,,,,oui,,,oui,,,,,,,,,,oui,,,,,irrigué,,,,,,,,,,,,,moyen,,,,,,
13,RIZ,Oryza sativa L.,16,GMB LS 123,Hybride,,,,,,HUANG ZHI,,,high aroma,,,,,,,,,,white,,,,,,,,125,,,,2022,,,,,,,,,,,,,,,120,,,,,,,,,NA,,,,,,,NARI/Gambia,,,,,,,29.7,,,,,,,,,,,,,11,,,,,,,oui,,,ND,,,,,,,,,,tolerance to drought and Iron toxicity,,,,,irrigated,,,,,,,,,,,,,6.5,,,,,,
