crop_number,crop_name_fr,crop_latin,No d'ordre,Dénomination,Nature Génétique,Nature génétique,Obtenteur/ Pays,Obtenteur / Pays,Obtenteur/ pays,Date d'inscription,Mainteneur,Aptitude au tallage,Aptitude à la conservation,Arôme du grain,Autres caractéristiques,"Autres caractéristiques (insectes, striga, maladies)",Autres carasteristiques,Couleur de la chair,Couleur de la peau,Couleur de la peau du tubercule,Couleur de la tunique du bulbe à maturité,Couleur des grains,Couleur du fruit à maturité,Couleur du grain,Couleur fibre,Couleur principale du tégument du grain,Cycle plantation (jours),Cycle plantation- maturité (jours),Cycle plantation- maturité (mois),Cycle semis - maturité (50%) (Jr),Cycle semis- maturité 1ère récolte (jours),Cycle semis- maturité à 50% (jours),Cycle semis- maturité à 95% (jours),Cycle semis- maturité à 95% des plants (jours),Cycle sémi- maturité 50% /jour,Date d'inscript ion,Densité de la panicule,Dormance des grains,Durée de conservation,Délai de brunissement de la chair après grattage,Elongation de la fibre,Epoque dehiscence première capsules(j),Espèce,Fermeté du fruit,Forme de la panicule (position de la partie la plus large),Forme de la racine turbéreuse,Forme du tubercule,Forme du turbercule en section longitudinale,Hauteur de la plante (cm),Hauteur de plant (cm),Hauteur de plante (cm),Hauteur de plante en cm,Hauteur de plants (cm),Hauteur des plants,Hauteur des plants (cm),Index de gluten,Indice micronaire,Isohyete (mm),Isohyète,Isohyète (mm),Longueur de l'épi,Longueur de la chandelle (cm),Longueur du tubercule,Longueur fibre,Nature génétiqe,Obtenteur /pays,Obtenteur/Pa ys,Photosensibilité,Poids de 100 Graines (g),Poids de 100 graines (g),Poids de 100 grains (PCG) à 15%,Poids de 100 grains (g),Poids de 1000 graines (g),Poids de 1000 grains (g),Poids des bulbes et bulbilles,Poids moyenne du fruit (g),Port de plante,Port des plants,Pourcentage de gros calibre,Reflectance,Rendeme nt potentiel (t/ha),Rendement en fanes (t/ha),Rendement en grains (t/ha),Rendement grains (t/ha),Rendement mesuré (T/Ha),Rendement mesuré (T/ha),Rendement mesuré (t/ha),Rendement potentiel (t/ha),Rendement potentiel en fanes (t/ha),Rendement égrenage (%),Résistance au striga,Résistance aux bioagresseurs,Résistance aux maladies,Résistance aux nuisibles,Résistance aux virose,Résistance à la sécheresse,Résistance à la verse,Sensibilité à la photopériode,Taille du bulbille,Taille du fruit,Tenacité de la fibre,Tendance à la montaison,Teneur en acide cyanhydrique,Teneur en huile (%),Teneur en proteine,Teneur en protéines (%),Tolérance à la sécheresse,Type de blé (dur ou tendre),Type de croissance,Type de crosissance,Type de plant,Vocation culturale,Vocation d'utilisation,Vocation d’utilisation,aptitude à la conservation,autres caractéristiques,couleur de grain (dos),couleur de la Peau,cycle semi- maturité,hauteur de la plante (cm),indice du jaune,isohyète,isohyète (mm),longueur de l'Épi,longueur du grain,rendement mesuré (T/Ha),résistance aux nuisibles,résistance à la sécheresse,tolérance à la secheresse,type de grain,vocation culturale
6,MAIS,Zea mays L.,11,SAMMAZ 65,,hybrid,,,"IAR, SAMARU, ZARIA",2022,"IAR, SAMARU, ZARIA",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,8.75,,,,,,,,,,,"sensible aux ravageurs, tolérant striga",orange [5],,,,,,900 - 1100,moyen [5],,,,tolérant,,corné [1],pluvial
6,MAIS,Zea mays L.,12,SAMMAZ 66,,Improved population,,,"IITA & IAR, SAMARU, ZARIA, NGA",2022,"IAR, SAMARU, ZARIA",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,8.4,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,"sensible aux ravageurs, tolérant striga",blanc [1],,,,,,700 - 900,moyen [5],,,,tolérant,,corné à corné-denté [2],pluvial
6,MAIS,Zea mays L.,13,SAMMAZ 67,,hybrid,,,"IITA & IAR, SAMARU, ZARIA, NGA",2022,"IAR, SAMARU, ZARIA",,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,199,,,,,,,,,,,,,,,,,,,70,,,,,,,,,,,,,,,9.7,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,"sensible aux ravageurs, tolérant striga",orange [5],,,,,,700 - 900,moyen [5],,,,tolerant,,corné [1],pluvial
6,MAIS,Zea mays L.,14,SAMMAZ 68 (DROUGHT TEGOWE8206),,hybrid,,,"BAYER, IAR, CIMMYT & AATF, NGA",2022,"IAR, SAMARU, ZARIA",,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,56,,,,,,,,,,,,,,,8.7,,,,,,,,,,,,,,,,,,,10.5,,,,,,,,,,,"sensible aux ravageurs, tolérant striga",jaune [3],,,,,,700 - 900,moyen [5],,,,tolerant,,corné-denté à denté [4],pluvial
6,MAIS,Zea mays L.,15,SEMAX 5,,hybrid,,,SemAfort,2021,SemAfort,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,222,,,,,,,,,,,,,,,,,,,37,,,,,,,,,,,,,,,12.4,,,,,,,,,,,,,,,,,,,9.74,,,,,,,,,,,,jaune,,,,,,700 - 900,long [7],,,,moyenne,,corné [1],pluvial et
6,MAIS,Zea mays L.,16,VSL 2065,,hybrid,,,VALUE SEEDS LTD,2022,VALUE SEEDS LTD,,,,,,,,,,,,,,,,,,,,,,,,95,,,,,,,,,,,,,,,,,193,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,8.6,,,,,,,,,,,,,,,,,,,9.96,,,,,,,,,,,sensible aux ravageurs,blanc [1],,,,,,900 - 1100,moyen [5],,,,tolerant,,corné à corné-denté [2],pluvial
6,MAIS,Zea mays L.,17,VSL 2101,,hybrid,,,VALUE SEEDS LTD,2022,VALUE SEEDS LTD,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,8.1,,,,,,,,,,,,,,,,,,,9.96,,,,,,,,,,,sensible aux ravageurs,blanc [1],,,,,,900 - 1100,long [7],,,,tolerant,,corné-denté à denté [4],pluvial
6,MAIS,Zea mays L.,18,VSL 2102,,hybrid,,,VALUE SEEDS LTD,2022,VALUE SEEDS LTD,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,8.2,,,,,,,,,,,,,,,,,,,9.96,,,,,,,,,,,sensible aux ravageurs,jaune orangé [4],,,,,,500 - 700,long [7],,,,tolerant,,corné-denté [3],pluvial
6,MAIS,Zea mays L.,19,WAC 42PVEE,,hybrid,,,IITA & WACOT SEED LTD,2022,WACOT SEED LTD,,,,,,,,,,,,,,,,,,,,,,,,78,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,6.2,,,,,,,,,,,,,,,,,,,9.93,,,,,,,,,,,sensible aux ravageurs,orange [5],,,,,,900 - 1100,moyen [5],,,,tolerant,,corné [1],pluvial
6,MAIS,Zea mays L.,20,WAC14M5,,hybrid,,,"IITA & WACOT SEED LTD, NGA",2022,WACOT SEED LTD,,,,,,,,,,,,,,,,,,,,,,,,85,,,,,,,,,,,,,,,,,169,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,10.1,,,,,,,,,,,,,,,,,,,9.8,,,,,,,,,,,sensible aux ravageurs,blanc [1],,,,,,900 - 1100,long [7],,,,tolerant,,corné-denté [3],pluvial
