Name of Variety,National Code,Origin/ Source,Breeder (s)/ Institution,Applicant,Distinctness Uniformity and Stability (DUS),Value for Cultivation and Use (VCU),Preferred Ecology,Pedigree/ Line,Year of Release,Year of Registry,_crop_section,_crop_latin,_page
Diffeele (Good Soup – as leafy vegetable),GH/Vu/006/16,Ghana,"F. Kusi, F. Padi, M. Haruna, I.D.K Atokple, E.Y Owusu, R.Y. Agyare. (CSIR-SARI); S. N.T.T Addy (CSIR-CRI)",CSIR-Savanna Agricultural Research Institute,Growth habit : erect; Growth pattern : determinate; Leaf type : medium size thick leaves; Flower colour- whitish cream; Physiological maturity : medium maturing (67-70 DAP); Position of pods : majority are slightly above canopy; Mean number of pods : 3; Colour of matured pods : brown; Shape of pod : slightly curved; Mean number of seed/ pod : 11; Seed coat colour : white; Helium colour : back; Seed shape : ovoid; Seed texture : rough; Seed size : medium; Mean 100 seed weight : 16 g,Potential grain yield: 2.2 t/ ha; Potential biomass yield: 5.1 t/ha; Good as leafy vegetable; Highly resistant to Aphis craccivora; Tolerant to Striga gesnerioides; Highly tolerant to drought; Protein content : 22.46 g/100g; Iron: 4.9 mg/100g,"Guinea, Sudan savannah, Transitional, Coastal Savannah and Forest zones",Asetenapa X SARC 1-57-2,2016,2016,COTTON,Gossypium hirsutum 81,43
Kirkhouse Benga -1,GH/Vu/008/16,Ghana,"F. Kusi, F. Padi, M. Haruna, I.D.K Atokple, E.Y Owusu, R.Y. Agyare (CSIR-SARI),",CSIR-Savanna Agricultural Research Institute,Growth habit: erect with no vines; Growth pattern: determinate; Leaf type: small trifoliate; Flower colour: white with purple marks; Position of pods: majority are slightly above canopy; Mean number of pods: 3 pods per peduncle; Colour of matured pods: brown; Mean number of seed/ pod:16; Seed coat colour: white; Helium colour: black; Seed shape: kidney; Seed texture: rough; Seed size: medium,Potential grain yield: 2.4 t/ ha; Potential biomass yield: 3.9 t/ha; Days to physiological Maturity: early (62- 65 DAP); Mean 100 seed weight:18.5 g; Highly resistant to Aphis craccivora; Resistant to Striga gesnerioide; Moderately tolerant to drought; Protein content: 23.88 g/100g; Iron content: 6.08 mg/100g,"Guinea, Sudan savannah, Transitional, Coastal Savannah and Forest zones",IT99K-573- 2-1 X SARC 1-57-2,2016,2016,COTTON,Gossypium hirsutum 81,43
Ghana Variety Release Catalogue,43,,,,,,,,,,COTTON,Gossypium hirsutum 81,43
Yor-kpitio,GH/Vu/001/19,Ghana,"A. T. Asare, E. Asare- Bediako, I.K.A. Galyuon (University of Cape Coast); F. Kusi (CSIR- SARI); F. Padi (CRIG); L. M. Aboagye (CSIR-PGRRI)","University of Cape Coast, Ghana","Growth habit: Intermediate; Growth pattern: Determinate; Plant: Anthocyanin pigmentation present at nodes, base and tip of petiole; Foliage colour: Pale green; Flower colour: White; Seed shape: Rhomboi; Seedcoatcolour:white; Plant photosensitivity: neutral; Receme position: mostly above canopy, moderately uniform drying pods","Potential grain yield: 4.8 t/ha Physiological Maturity: 59 days (early). Plant height: 25.5cm. Days to 50 % flowering- 43 days (early); Dual purpose (grain and fodder production). Protein content: 25.9 %. Selenium: 67.0 mg100g-1 Zinc: 16.6 mg100g-1 100:seed weight: 17.1g, Good cooking characteristics: preparing gari and beans, waakye, koose, agawu, and stew, gable, nyonbeeka, tubani, gora, and nagbechinge. Disease : tolerant to Rust and Cowpea mosaic disease) Drought : highly tolerant","Coastal savannah, Forest-Savannah Transition, Semi- deciduous forest",IT97K-499-35 x Apagbaala,2019,2019,COTTON,Gossypium hirsutum 81,44
UCC-Early,GH/Vu/004/19,Ghana,"A. T. Asare, E. Asare- Bediako I.K.A. Galyuon J.P. Tetteh (University of Cape Coast); F. Kusi (CSIR- SARI); L. M. Aboagye (CSIR-PGRRI)","University of Cape Coast, Ghana","Days to 50 % flowering: 35 days (very early); Physiological Maturity: 52 days (very early); Plant: Anthocyanin pigmentation present at nodes, base and tip of petiole; Foliage colour: Intermediate green; Flower colour: Purple; Seed shape: Rhomboid; Seed coat colour: Golden brown Plant photosensitivity: neutral; Receme position: Mostly above canopy, uniform drying of pod.","Potential grain yield: 4.1 t/ha; Plant height: 37.7 cm; Protein content: 23.6 %; Carbohydrate: 58.0 %; Potassium: 305.7 mg100g-1; Sodium: 97.6 mg100g-1; Magnesium: 143.3mg100g-1; Selenium: 42.2mg100g-1; Zinc- 216 mg100g-1; Calcium: 10.7mg100g-1; Copper: 16.7 mg100g-1; Iron: 6.1mg100g-1; 100: seed weight: 14.0g; Good cooking characteristics: preparing gari and beans, waakye, koose, agawu, and stew, gable, nyonbeeka, tubani, gora, and nagbechinge. Diseases and pest tolerant. Drought: Tolerant.","Coastal savannah, Forest-Savannah Transition, Semi- deciduous forest",Induced landrace,2019,2019,COTTON,Gossypium hirsutum 81,45
Ghana Variety Release Catalogue,45,,,,,,,,,,COTTON,Gossypium hirsutum 81,45
Aluba-kpole,GH/Vu/005/19,IITA,"A. T. Asare, E. Asare- Bediako I.K.A. Galyuon (University of Cape Coast); F. Kusi (CSIR- SARI); F. Padi (CRIG); L. M. Aboagye (CSIR-PGRRI)","University of Cape Coast, Ghana","Growth habit: Indeterminate; Growth pattern: determinate; Anthocyanin pigmentation: present at nodes, base and tip of petiole; Foliage colour: Pale green; Flower colour: Purple; Seed shape: Kidney; Seed coat colour: Reddish brown; Plant photosensitivity: neutral; Receme position: mostly above canopy.","Potential grain yield: 3.3 t/ ha; Plant height: 33.0 cm; Days to 50 % flowering; 41 days (very early); Physiological Maturity; 56 days; Dual purpose (grain and fodder production); Protein content; 31.9 %; Carbohydrate:47.0 %; Potassium-300.8mg100g-1; Phosphorus: 5.4mg100-1; Sodium: 93.5mg100g-1; Magnesium-1 42.0mg100g-1; Selenium- 55.0mg100g-1; Zinc: 20,5 mg100g-1; Calcium: 10.7mg100g-1; Copper: 16.7 mg100g-1; Iron: 11.1 mg100g-1; 100: seed weight: 21.3 g, Good cooking characteristics: preparing gari and beans, waakye, koose, agawu, and stew, gable, nyonbeeka, Resistant to Striga gesnerioides; Diseases and pest tolerant; Drought: moderately tolerant.","Coastal savannah, Forest-Savannah Transition, Semi- deciduous forest",IT10K-819-4,2019,2019,COTTON,Gossypium hirsutum 81,46
Ghana Variety Release Catalogue,47,,,,,,,,,,COTTON,Gossypium hirsutum 81,47
GROUND NUTS,,,,,,,,,,,COTTON,Gossypium hirsutum 81,48
SPECIES: Arachis hypogaea L.,,,,,,,,,,,COTTON,Gossypium hirsutum 81,48
Chinese (Shi tao chi),GH/Ah/001/15,ICRISAT,CSIR-SARI,CSIR-Savanna Agricultural Research Institute,Growth habit: erect; branching pattern: sequential; lacks stem pigmentation with scarce hair. Leaves are typically light green and has an oblanceolate shape. Pods are two seeded without a constriction. Seed coat colour: tan; 100 seed weight: 38g; lacks fresh seed dormancy.,Early maturing. Suitable for soup and all confectionery products; Matures in 90 days. The seeds contain 35% oil.,Guinea and Sudan savannah ecologies of Ghana,,1980,2015,COTTON,Gossypium hirsutum 81,49
F-mix,GH/Ah/003/15,ICRISAT,K.O. Marfo; CSIR-SARI,CSIR-Savanna Agricultural Research Institute,The seed color is tan with white shades.,"Days to maturity; 120; oil content; 49%; Pod yield; 2.5 t/ha; It has very high level of tolerance to foliar diseases, e.g. Rrosette, Cercospora and rust, leaf spot that are the major yield reducing factors of groundnut.",Guinea and Sudan savannah ecologies of Ghana,,1986,2015,COTTON,Gossypium hirsutum 81,49
Nkatiesari,GH/Ah/005/15,CSIR-SARI,"A. Frimpong, F.K. Padi, J. Kombiok, A. B. Salifu, K.O. Marfo CSIR-SARI",CSIR-Savanna Agricultural Research Institute,"It is a virginia botanical type peanut cultivar possessing alternate branching pattern. It has an erect growth habit, and medium green leaves. It matures in 110 days. The pods are typically two-seeded, slightly beaked, and the constriction between the seeds is slight. 100 seed weight of 50 g; light tan testa color; Contains 46% oil.","It is medium maturing. Has a high kernel yield with good fresh seed dormancy. It is resistant to early and late leafspot infections caused by Cercospora arachidicola S. Hori and Cercosporidium personatum (Berk. & Curt.) Deighton, respectively. It is suitable for oil extraction and good for making confectionery products.",It is adapted to the Guinea and Sudan savannah ecologies of Ghana,F5-derived line selected from a cross between ‘F-mix’ as the female parent and ICG(FDRS)-20 as the male parent.,2005,2015,COTTON,Gossypium hirsutum 81,49
Kpanieli,GH/Ah/007/15,ICRISAT,"A. Frimpong, F.K. Padi, J. Kombiok, A. B. Salifu, K.O. Marfo CSIR-SARI",CSIR-Savanna Agricultural Research Institute,Requires 120 days to mature. It has an alternate branching pattern. Pods are two-seeded and moderately beaked with a deep constriction between the kernels. Kernels have red testa color and a 100 seed weight of 67 g. The seed is composed of 51% oil.,High kernel yields (2.5 t/ha). Suitable for commercial oil extraction. Resistant to early and late leaf spot.,Guinea savannah ecology,ICGV 90084,2005,2015,COTTON,Gossypium hirsutum 81,49
Ghana Variety Release Catalogue,49,,,,,,,,,,COTTON,Gossypium hirsutum 81,49
CRI-Adepa,GH/Ah/010/15,ICRISAT,"J. Y. Asibuo, H.K. Adu- Dapaah, S. Amoah (CSIR- CRI)",CSIR-Crops Research Institute,"Growth habit: semi-erect; Pubescence: some have pubescence on both the stem and the leaf. Flower colour: orange: yellow; Pods/ plant: 47; Plant height: 17.0cm. Leaf colour: dark green; Leaf shape: Obovate narrow; Seeds/pod: two (2); Beakness: moderate (2.8 cm x 1.3 cm); Pod constriction: slight; Seed colour: light brown, Seed length: 14.01± 0.86, Seed width: 8.54 ± 0.75.","High Oil Protein (%): 26.28±0.14, Fat (%): 49.86±0.44, Ash (%): 2.78±0.23, Carbohydrates (%): 21.07±0.89, Energy (Kcal/100g): 595.12; Phosphorus (mg/100g): 361.8±2.8; Calcium (mg/100g): 371.9±6.6; Iron (mg/100g): 2.09±0.02; 1000 seed weight: 503.9 g; Pod yield: 2.4 t/ha",Forest and Coastal Savannah zones,M576-79,2005,2015,COTTON,Gossypium hirsutum 81,50
CRI- Jenkaar,GH/Ah/012/15,ICRISAT,"H.K. Adu- Dapaah, J.Y. Asibuo, S. Amoah, B. Asafo Agyei (CSIR- CRI)",CSIR-Crops Research Institute,"Growth habit: semi-erect; Pubescence: present on both stem and leaf. Flower colour: orange: yellow. Pods/plant: 43; Plant height: 19.1 cm. Leaf colour-dark green; Leaf shape: oblong: elliptic; Seeds/pod: 2 Beakness: moderate (3.1cm x1.3cm); Pod constriction: moderate; Seed colour: tan; Seed length: 13.54± 1.13, Seed width: 8.03 ± 0.55","High Oil. Protein (%): 27.82±0.18, Fat (%): 51.13±0.17, Ash (%): 2.96±0.01, Carbohydrates (%): 18.08±0.40, Energy (Kcal/100g): 599.24; Phosphorus (mg/100g): 434.5±1.3; Calcium (mg/100g): 296.6±8.0; Iron (mg/100g): 2.13±0.06; 1000 seed weight: 469.1 g; Pod yield: 2.5 t/ha",Forest- Savannah Transition zone,MDR-8-19,2005,2015,COTTON,Gossypium hirsutum 81,50
Yenyawoso,GH/Ah/014/15,ICRISAT,"J. Y. Asibuo, H.K. Adu- Dapaah, S. Amoah, S.N.T.T Addy, M.K Owusu- Akyaw, M.B. Mochiah (CSIR-CRI); A. Mumuni (CSIR-SARI)",CSIR-Crops Research Institute,Growth habit: Semi-erect; Kernel lacks dormancy; Market type: Spanish; Leaf shape: Obovate; Leaf colour: Light green; Resistant to rust; Days to 50% flowering: 23; Pod length:3.0 cm; Pod diameter:1.3 cm; Seeds/pod:2; Seed colour: Dark Red; Pod beak-Slight; Pod constriction: Slight,% Moisture 5.6; % Ash 2.43; % Protein 29.85; % Fat 49.92; % Fibre 5.28; % Carbohydrate 6.92; % WBC 227.22; % Solubility 66.36; Swelling power 10.06; pH 6.81; Early maturity: 90 days; Zinc 3.52 (mg/100g); Iron 3.17 (mg/100g); Phosphorus 809.01 (mg/100g); Calcium 513.02 (mg/100g); Magnesium 972.16 (mg/100g); Oil content: 50%;1000 seed weight: 416g; Pod yield: 2.7 tons/ha,"Savannah, forest-savannah transtion, semi deciduous forest",ICG (X) SM 87057,2012,2015,COTTON,Gossypium hirsutum 81,50
