Name of Variety,National Code,Origin/ Source,Breeder (s)/ Institution,Applicant,Distinctness Uniformity and Stability (DUS),Value for Cultivation and Use (VCU),Preferred Ecology,Pedigree/ Line,Year of Release,Year of Registry,_crop_section,_crop_latin,_page
Anidaso,GH/Gm/003/15,Landrace/ Ghana,B. Asafo Agyei (CSIR-CRI),CSIR-Crops Research Institute,Seed colour: cream; Hilium colour: light brown; 1000 seed weight: 96.08 + 8.2 g.,"Medium maturing (105-115) yield: 1.2-2.8 ton/ha; NDFA 51-60; Protein(%)- 46.38±0.08; fat(%):16.45±0.07, Ash (%): 5.10±0.13; Carbohydrate(%): 32.07±0.32; Phoshorus (mg/100g): 596.9±14.1; Calcium (mg/100g):240.1±1.4; Iron(mg/100g): 11.67±0.28.","Guinea Savannah, Sudan Savannah, Transition and Coastal Savannah zones",,1992,2015,COTTON,Gossypium hirsutum 81,54
Jenguma,GH/Gm/005/15,CSIR-SARI/ IITA,"N.N. Denwar, H. Quarshie (CSIR- SARI)",CSIR- Savanna Agricultural Research Institute,"Growth pattern: Determinate; Flower colour: purple; Plant height: 50-55 cm; 1000 seed weight: 140 g; seed colour: cream; Growth habit: erect; Pubescence: present on stems, leaves and pods; Pod position: along main stem; Hilium colour: light pink; Leaf type: trifoliate.","Days to 50% flowering: 45-48; Days to maturity: 110-115; Yield potential: 2.5-2.8 t/ ha; Haulm yield: 1500-3000 kg/ha; Resistance to pod shattering: resistant; up to 3% shattering; Excellent seed quality; High and stable yield across many environments; tolerant to common soybean pests and diseases; relatively tolerant to low soil P; trap-crop for S. hermonthica; Protein content: 38%, Oil content: 14%; Carbohydrate content: 37%.","Guinea & Sudan savannahs, transitional and forest zones",TGX 824- 18D x TGX 814-27D,2003,2015,COTTON,Gossypium hirsutum 81,54
CRI-Ahoto,GH/Gm/008/15,Landrace/ Ghana,"H.K. Adu-Dapaah, J.Y. Asibuo, S. Amoah, B. Asafo Agyei. (CSIR-CRI)",CSIR-Crops Research Institute,The plant grows to a height of 48cm and bears an average of 4 branches/ plant. The flower is purple and the leaf light green in colour. Two to three seeds are borne per pod. The immature pod is green while the mature pod is light brown in colour.,"Food uses Moisture (%): 9.64±0.08; Protein (%): 42.52±0.03; Fat (%): 19.46±0.42; Ash (%): 5.58±0.05; Carbohydrates (%): 32.45±0.58; Energy (Kcal/100g): 442.0; Phosphorus (mg/100g): 549.5±12.0, Calcium (mg/100g): 267.8±1.4; Iron (mg/100g): 11.62±0.28; Seed yield:2.4 t/ha","Guinea Savannah, Sudan Savannah, Transition and Coastal Savannah zones",TGX 1904-5F,2005,2015,COTTON,Gossypium hirsutum 81,55
Songda,GH/Gm/010/15,CSIR-SARI/ IITA,N.N. Denwar (CSIR-SARI),CSIR- Savanna Agricultural Research Institute,"Growth pattern: Determinate; Flower colour: purple; Plant height: 40-45 cm; 1000 seed weight:123.4 g; Seed colour:cream: Stem colour at maturity: cream; Growth habit: erect; Pubescence: present on stems, pods and leaves; Pods position: along main stem; Hilium colour: light pink; Leaf type: trifoliate",Days to 50% flowering: 40-45; Days to maturity:110-115; Yield potential: 1.8-2.2 t/ha; Over 98% seed germination; Haulm yield:1100-1200 kg/ha; Resistance to pod shattering: susceptible (over 50% shattering); Excellent seed quality; Good seed storability; High and stable yield across many environments; Average tolerance to common soybean pests and diseases; Excellent trap-crop for S. hermonthica,"Guinea & Sudan savannahs, transitional zone",TGX 1445-3E,2012,2015,COTTON,Gossypium hirsutum 81,55
Ghana Variety Release Catalogue,55,,,,,,,,,,COTTON,Gossypium hirsutum 81,55
Latara,GH/Gm/002/16,CSIR-SARI/ IITA,S. Amoah (CSIR- CRI),CSIR-Crops Research Institute,Growth pattern: Determinate; Leaf type: trifoliate; Leaf shape: Narrow; Pubescence: dense light brown; Pubescence type: erect; Flower colour: purple; Purple throat corolla; Matured pod colour: Yellowish brown; Pods per peduncle: six (6); Seeds per pod: 2-3; Seed coat colour: Yellow with light hilum.,Seed size: large; Tolerant to the soybean rust and other diseases of soybean; Moderately resistant to pod shattering; Nodulation ability: promiscuously with soil rhizobia; Yield potential: 3.2t/ha.,"Savannah- Forest Transition, Forest, Coastal Savannah and Guinea Savannah",TGX 1903-7F,2016,2016,COTTON,Gossypium hirsutum 81,56
Toondana,GH/Gm/002/19,CSIR-SARI/ IITA,"S. Amoah, J.Y. Asibuo, S.N.T.T Addy, H. Adu-Dapaah (CSIR-CRI)",CSIR-Crops Research Institute,"Growth pattern: Indeterminate; Leaf type: trifoliate; Pubescence: dense, light brown and erect; Corolla colour: white; Matured pod colour: brown; Number of pods per peduncle: seven (7); Number of seeds per pod: predominantly two (2); Branching: four (4) branches per plant on average; Seed coat colour: yellow.","Large seed size. It has desirable yield component traits such as high number of branches per plant, high number of pods per peduncle and large seed. It is resistant to lodging. It is resistant to the soybean rust disease and other diseases. It has promiscuous nodulation with soil rhizobia and a potential yield of 3.5t/ha.","Savannah- Forest Transition, Forest, Coastal Savannah",TGX 1989- 20F,2019,2019,COTTON,Gossypium hirsutum 81,56
Ghana Variety Release Catalogue,57,,,,,,,,,,COTTON,Gossypium hirsutum 81,57
CASSAVA,,,,,,,,,,,COTTON,Gossypium hirsutum 81,58
SPECIES: Manihot esculenta Crantz.,,,,,,,,,,,COTTON,Gossypium hirsutum 81,58
Afisiafi,GH/Me/001/15,"IITA, Ibadan","J.A. Otoo, et al.; CSIR-CRI",CSIR-CRI,Petiole colour: light green; mature leaf: green; branching: open branching; outter skin of root: pale redish brown; root spread: horizontal; cooking ability: not poundable; wider adaptation; young stem: light green; mature stem colour: greenish brown; tuber texture: rough; shape: cylindrical,"Maturity period: 12-15 months; mean root yield: 28- 35 t/ha; total root dry matter: 32%; is used for starch, flour and gari; tolerant to Cassava Mosaic Virus (CMV).",All agro-ecologies in Ghana,TMS 30572,1993,2015,COTTON,Gossypium hirsutum 81,59
Tek-Bankye,GH/Me/003/15,"IITA, Ibadan","O. Safo- Kantanka, et al.; KNUST",KNUST,Leaf colour: light green; mature leaf colour: dark green; petiole colour: green and purple; stem colour: light brown; level of branching: >3; root tuber: cream; texture: smooth; position: horizontal; neck length: long,"Maturity period: 12-15 months; mean root yield: 30-40 t/ha; total root dry matter: 30%; is used for fufu, gari and 'ampesi'; susceptible to Cassava Mosaic Virus (CMV).",Forest/Forest Savannah Transition,Mutant,1997,2015,COTTON,Gossypium hirsutum 81,59
Eskamaye,GH/Me/005/15,"IITA, Ibadan","Cecil Osei, et al.; CSIR-SARI",CSIR-SARI,Storage root surface texture - Rough. Stem colour is greenish grey.,"Potential root yield 16-23t/ha and have high yield at both 8 and 12 MAP; Dry Matter content: 33%; Gari swelling ability: High; Poundability: not poundable in the dry season; Uses: Tuo Zaafi, gari, flour and starch.",Guinea Savannah,91/02327,2003,2015,COTTON,Gossypium hirsutum 81,59
Nkabom,GH/Me/007/15,Ghana,"O. Safo- Kantanka, et al.; KNUST",KNUST,Young stem colour: green; petiole: purple; mature stem colour: silver green; branching habit: intermidiate; tuber shape: conical (long); outer colour: dark brown,Maturity period: 12-15 months; mean root yield: 28- 32 t/ha; total root dry matter: 32%; is used for starch and fufu; tolerant to Cassava Mosaic Virus (CMV).,"Coastal Savannah, Forest, Forest- Savannah Transition",Landraces,2005,2015,COTTON,Gossypium hirsutum 81,59
Ghana Variety Release Catalogue,59,,,,,,,,,,COTTON,Gossypium hirsutum 81,59
IFAD,GH/Me/008/15,Ghana,"O. Safo- Kantanka, et al.; KNUST",KNUST,Young stem colour: green; petiole: purple; mature stem colour: silver green; branching habit: high; tuber shape: conical (long); outer colour: dark brown;,Maturity period: 12-15 months; mean root yield: 30- 35 t/ha; total root dry matter: 30%; is used for starch and fufu; tolerant to Cassava Mosaic Virus (CMV).,"Coastal Savannah, Forest, Forest- Savannah Transition",Landraces,2005,2015,COTTON,Gossypium hirsutum 81,60
CRI-Essam Bankye,GH/Me/010/15,"IITA, Ibadan","G. Ampong Mensah, et al.; CRI, Kumasi",CSIR-CRI,Petiole colour: yellowish green; Stem colour: light brown; Branching habit: intermediate; Root skin colour: pale orange,Potential yield: 49 t/ha; 19.8% starch and good for flour.,"Forest, coastal and forest-savannah transition.",97/ 3982,2005,2015,COTTON,Gossypium hirsutum 81,60
CRI-Doku Duade,GH/Me/012/15,"IITA, Ibadan","G. Ampong Mensah, et al.; CRI, Kumasi",CSIR-CRI,Petiole colour: yellowish green; Stem colour: light brown; Branching habit: intermediate branching; Root skin colour: light orange,Potential yield: 45 t/ha; 24% starch and good starch production.,"Forest, coastal and forest-savannah transition.",97/ 4489,2005,2015,COTTON,Gossypium hirsutum 81,60
CRI-Ampong,GH/Me/015/15,"IITA, Ibadan","J. Manu- Aduening; G. Ampong Mensah CRI, Kumasi",CSIR-CRI,Petiole colour: purple; Stem colour: greyish brown. Mean ht: 219.5 cm. Root skin colour: deep brown,"Potential yield: 45 t/ha; Dry matter: 36%, Resistant to Cassava Mosaic Virus (CMV), good for flour, starch and poundable.","Forest, coastal and forest-savannah transition.",TMS 270,2010,2015,COTTON,Gossypium hirsutum 81,61
CRI-Sika Bankye,GH/Me/017/15,"IITA, Ibadan","J. Manu- Aduening; G. Ampong Mensah CRI, Kumasi",CSIR-CRI,"Petiole colour: yellowish green; Stem colour: greyish brown, Mean ht: 205 cm; Root skin colour: brown","Potential yield: 40 t/ha, Dry matter: 36%, tolerant to Cassava Mosaic Virus (CMV), good for flour and starch production","Forest, coastal and forest-savannah transition.",TMS 498,2010,2015,COTTON,Gossypium hirsutum 81,61
CRI-Duade Kpakpa,GH/Me/019/15,Landrace/ Ghana,J. Manu- Aduening/ CSIR-CRI,CSIR-Crops Research Institute,Petiole colour: Red with green; Stem colour: light brown; Plant shape: Open; Root skin colour: light brown; Cortex colour: cream; Pulp colour: white,"Potential Yield: 40-60T/ha; Dry matter: 37%; Resistant to CMD; Uses: Fufu (poundable), flour, starch, industrial alcohol",Coastal and Forest- Savannah Transition,12/0197,2015,2015,COTTON,Gossypium hirsutum 81,61
CRI-AGRA bankye,GH/Me/021/15,Landrace/ Ghana,J. Manu- Aduening/ CSIR-CRI,CSIR-Crops Research Institute,Petiole colour: Purple; Stem colour: Light brown; Plant shape: Compact; Root skin colour: Light brown; Cortex colour: Cream; Pulp colour: Cream,Potential Yield: 35-60 T/ha; Dry matter: 32%; Resistant to CMD; Uses: starch and flour,Forest. Forest savannah transition and Coastal Savannah,12/0245,2015,2015,COTTON,Gossypium hirsutum 81,61
Ghana Variety Release Catalogue,61,,,,,,,,,,COTTON,Gossypium hirsutum 81,61
CRI- Lamesese,GH/Me/024/15,Landrace/ Ghana,J. Manu- Aduening/ CSIR-CRI,CSIR-Crops Research Institute,Petiole colour: Purple; Stem colour: Dark brown; Plant shape: Umbrella; Root skin colour: Light brown; Cortex colour: Cream; Pulp colour: Yellow,"Potential Yield: 40-50 T/ ha; Dry matter: 39%; Tolerant to CMD; Uses: Fufu (poundable), Flour and Beta-Carotene","Forest, Forest- Savannah Transition and Coastal Savannah",ANKA/10/003,2015,2015,COTTON,Gossypium hirsutum 81,62
Crops Research,GH/Me/002/19,Landrace/ Ghana,J. Manu- Aduening/ CSIR-CRI,CSIR-Crops Research Institute,Apical leaf colour : light green; Petiole colour : red; Leaf shape - elliptic lanceolate; Plant shape: umbrella; Stem colour: orange; Root colour : light brown; Colour of cortex : pink; Pulp colour : cream,"Tolerant to Cassava Mosaic Disease; total dry matter is 30 %; maturity period is 12 months; Potential root yield (T/ha) is 40-45; Uses: Fufu, Flour & starch","Forest, Coastal and Forest Savannah transition",GC 13/0021,2019,2019,COTTON,Gossypium hirsutum 81,62
Kpornu agbeli,GH/Me/004/19,"IITA, Ibadan","G. Amenorpe, K.E. Danso (GAEC); E. Asare-Bediako, P. A. Asare, G. van der Puije, K. J. Taah, J.P Tetteh (UCC); L.M. Aboagye (PGRRI- CSIR); E. Y. Parkes (IITA), B. B. Peprah (CSIR- CRI)",GAEC-BNARI & UCC,Cassava mosaic disease: resistant; Root flesh colour: yellow; Apical leaf colour: light green; Petiole colour: yellowish green; Shape of the central leaf lobe: oblanceolate; Foliar scars : very-prominence; Branching habit : dichotomous; Stem colour : silver green; Outer root colour : white; Root constriction : few to none; Root shape : conical; Root colour (inner/cortex) : white or cream; Pulp colour : yellowish,"Maturity: 12 MAP; the rate of emergence: 99%; Potential root yield: 24t/ha; Dry matter: 26.06%; Cyanogenic potential: 32.58µg g-1; Source of pro-Vitamin A (7.97 µg g-1); Uses: flour, gari","Coastal savannah, Forest-savannah transition and Forest",GAEC14 / 2B1368,2019,2019,COTTON,Gossypium hirsutum 81,62
Tetteh bankye,GH/Me/005/19,"IITA, Ibadan","G. Amenorpe, K.E. Danso (GAEC); E. Asare-Bediako, P. A. Asare, G. van der Puije, K. J. Taah, J.P Tetteh (UCC); L.M. Aboagye (PGRRI- CSIR); E. Y. Parkes (IITA), B. B. Peprah (CSIR- CRI)",GAEC-BNARI & UCC,Cassava mosaic disease: resistant; Apical leaf colour: purplish green; Petiole colour : yellowish green; Shape of the central leaf lobe : oblanceolate; Foliar scars on the stem - semi-prominence; Branching habit : dichotomous; Stem colour : orange green; Outer root colour : light brown; Root constriction: few to none; Root shape: conical; Root colour (inner/cortex) : yellow; pulp colour : yellowish,"Maturity: 12 MAP; the rate of emergence:100%; Potential root yield at 12 MAP: 19 t/ha; Dry matter: 21.2%; The cyanogenic potential: 31.91 ug g-1; Source of pro-Vitamin A (6.91µg g-1); Uses: flour, gari, fufu","Coastal savannah, Forest-savannah transition and Forest",GAEC14 / 5E1610,2019,2019,COTTON,Gossypium hirsutum 81,63
Ampesi hemaa bankye,GH/Me/001/19,"Volta Region, Ghana","G. Amenorpe, K.E. Danso (GAEC); E. Asare-Bediako, P. A. Asare, G. van der Puije, K. J. Taah, J.P Tetteh (UCC); L.M. Aboagye (PGRRI- CSIR); E. Y. Parkes (IITA), B. B. Peprah (CSIR- CRI)",GAEC-BNARI & UCC,Cassava mosaic disease : resistant; root flesh colour: white; Apical leaf colour: purplish green; Petiole colour : purple; shape of the central leaf lobe : elliptic lanceolate; Foliar scars on the stem : semi- prominence; Branching habit : dichotomous; Stem colour : greenish yellow; Outer root colour : light brown; Root constriction: few to none; Root shape: cylindrical; Root colour (inner/cortex) : yellow; Pulp colour : white,"Maturity: 12 MAP; the rate of emergence: 97%; Potential root yield at 12MAP: 22 t/ ha; Dry matter: 40.0%; Cassava Mosaic Disease (CMD): resistant; Cyanogenic potential: 34.71ug g-1; Uses: Ampesi fufu starch, flour","Coastal savannah, Forest-savannah transition and Forest agro-ecologies",GAEC12 / 7GHO008002,2019,2019,COTTON,Gossypium hirsutum 81,63
Ghana Variety Release Catalogue,63,,,,,,,,,,COTTON,Gossypium hirsutum 81,63
COCOYAM,,,,,,,,,,,COTTON,Gossypium hirsutum 81,64
SPECIES: Xanthosoma Sagittifolium (L) Schott,,,,,,,,,,,COTTON,Gossypium hirsutum 81,64
CRI-Akyede,GH/Xs/001/15,Ghana,"E.L. Omenyo, CSIR-CRI",CSIR-Crops Research Institute,"Structure: erect; Leaf: Green; Purple leaf margin; Sagittate. Lamina: Ovoid; triangular basal lobe & deep sinus. Petiole: Deep green; Base of Petiole: Purple; Stem (corm): Purple; Colour of cormel skin: Purple; Colour of cormel flesh: Purple; Flowering: Rare, Maturity: Late maturing (12-15 months)","Potential Yield: 7.0 mt/Ha; Soft rot : tolerant; Minerals: Iron content : 7.06 mg/100g; Crude protein : 8.48%; Crude Fibre :1.19%; Ash : 2.67%; Dry Matter : 43.6%; Carbohydrate : 47.87%; Uses: Fufu, Ampesi, Eto, Nuhuu, Koliko, Chips.",Forest,Landrace (SW 011),2012,2015,COTTON,Gossypium hirsutum 81,65
CRI- Gye Me Di,GH/Xs/003/15,Ghana,"E.L. Omenyo, CSIR-CRI",CSIR-Crops Research Institute,"Structure: Erect, Leaf: Green; Purple leaf margin; Sagittate, Lamina: Ovoid, triangular basal lobe & deep sinus; Petiole: Deep green; Base of Petiole: Purple, Stem (corm): Purple; Colour of cormel skin: Purple; Colour of cormel flesh: Purple; Flowering: Rare; Maturity: Late maturing (12-15 months)","Potential Yield: 8 mt/ha; Soft rot : tolerant; Minerals: Rich in Magnesium : 408 mg/100g; Dry matter content: 44.4%; Ash : 2.73%; Carbohydrate : 48.19%; Uses: Fufu, Ampesi, Eto, Koliko, Nuhuu, Chips.",Forest,Landrace (SCJ 98/005),2012,2015,COTTON,Gossypium hirsutum 81,65
Ghana Variety Release Catalogue,65,,,,,,,,,,COTTON,Gossypium hirsutum 81,65
FRAFRA POTATO,,,,,,,,,,,COTTON,Gossypium hirsutum 81,66
SPECIES: Solenostemon rotundifolius Poir,,,,,,,,,,,COTTON,Gossypium hirsutum 81,66
WAAPP Piesa 1 (WAAPP Frafra potato),GH/Sr/001/19,Ghana,"F. Kusi, S.K. Nutsugah, R.A.L. Kanton, P. A. Asungre (CSIR-SARI), L.M. Aboagye (CSIR- PGRRI)",CSIR- Savanna Agricultural Research Institute,Plant stature: semi spread; Growth habit : multiple branches; Pigmentation: pronounced at margins of older leaves; Leaf colour: light yellowish green; Stem colour: light green; Flower colour: deep purple; Physiological maturity: 85 days; Tubers per plant : 269; Tuber shape: elliptical; Tuber skin colour: black; Resistance to diseases: tolerant; Dormancy period: 2 months after harvest; Drought tolerance: escape Average tuber weight: 3.18 g,"Potential tuber yield: 19 t/ha; High resistance to Fusarium wilt, tuber rot and foliar diseases; Proximate composition: Moisture (g/100 g) : 72.77; Ash (g/100 g): 1.15; Fat (g/100 g) : 0.21; Protein (g/100g) :1.69; Carbohydrate (g/100 g) : 24.19;Energy (kcal/100 g) : 105.4; Excellent as flour substitute in koose and bread and also for the following local dishes peeled with pepper and thick porridge.","Guinea Savannah, Sudan Savannah, Coastal Savannah and Forest zones",UE021,2019,2019,COTTON,Gossypium hirsutum 81,67
Manga-moya (Well done Manga station- Ayekoo Manga ),GH/Sr/002/19,Ghana,"F. Kusi, K. Nutsugah, Roger A. L. Kanton, Peter A. Asungre (CSIR-SARI), Lawrence Aboagye (CSIR- PGRRI)",CSIR- Savanna Agricultural Research Institute,Plant stature: semi spread; Growth habit : multiple branches; Pigmentation: slightly at the margins of old leaves; Leaf colour: light yellowish green; Stem colour: light green Flower colour: deep purple Physiological maturity: 85 days; Tubers per plant : 143.3; Tuber shape- fairly round; Tuber skin colour: brown; Resistance to diseases: tolerant; Dormancy period: 2 months after harvest; Drought tolerance: escape Average tuber weight: 4.48 g,"Potential tuber yield: 15.2 t/ha; High resistance to Fusarium wilt, tuber rot and foliar diseases; Proximate composition: Moisture (g/100 g): 77.52; Ash (g/100 g): 1.04; Fat (g/100 g): 0.16; Protein (g/100 g):1.15; Carbohydrate (g/100 g): 20.15; Energy (kcal/100 g) : 86.58; Excellent as flour substitute in koose and bread and also for the following local dishes peeled with pepper and thick porridge","Guinea Savannah, Sudan Savannah, Coastal Savannah and forest zones",UE023,2019,,COTTON,Gossypium hirsutum 81,67
Maa-Lana (I can’t believe how far I have made it- menamenie ),GH/Sr/003/19,Ghana,"F. Kusi, K. Nutsugah, Roger A. L. Kanton, Peter A. Asungre (CSIR-SARI), Lawrence Aboagye (CSIR- PGRRI)",CSIR- Savanna Agricultural Research Institute,Plant stature: semi spread; Growth habit : Multiple stems; Pigmentation : slightly at the margins of old leaves; Leaf colour: light yellowish green; Stem colour: light green; Flower colour : light purple; Physiological maturity : 95 days; Tubers per plant : 202.3; Tuber shape: elliptical ; Tuber skin colour: brown; Resistance to diseases: tolerant; Dormancy period: 2 months after harvest; Drought tolerance: tolerant Average tuber weight: 3.47 g,"Potential tuber yield: 23.6 t/ha; High resistance to Fusarium wilt, tuber rot and foliar diseases; Proximate composition: Moisture (g/100 g): 75.62; Ash (g/100g):1.4; Fat (g/100 g) : 0.07; Protein (g/100 g):1.28; Carbohydrate (g/100 g): 21.9; Energy (kcal/100g): 93.3; Excellent in the preparation of the following local dishes tuo-zaafi, thick porridge and peeled without pepper","Guinea Savannah, Sudan Savannah, Coastal Savannah and forest zones",UW020,2019,2019,COTTON,Gossypium hirsutum 81,67
Ghana Variety Release Catalogue,67,,,,,,,,,,COTTON,Gossypium hirsutum 81,67
Naachem-Tiir (Hope for the youth),GH/Sr/004/19,Ghana,"F. Kusi, K. Nutsugah, Roger A. L. Kanton, Peter A. Asungre (CSIR-SARI); Lawrence Aboagye (CSIR- PGRRI)",CSIR- Savanna Agricultural Research Institute,Plant stature: semi spread; Growth habit : Multiple stems; Pigmentation : slightly at the margins of old leaves; Leaf colour: light yellowish green; Stem colour: light green; Flower colour : light purple; Physiological maturity: 95 days; Tubers per plant : 117.7; Tuber shape- obovate; Tuber skin colour- brown; Resistance to diseases: tolerant; Dormancy period: 2 months after harvest; Drought tolerance: tolerant Average tuber weight: 3.39 g,"Potential tuber yield: 20 t/ha; High resistance to Fusarium wilt, tuber rot and foliar diseases; Proximate composition: Moisture (g/100 g): 74.91; Ash (g/100 g): 1.03; Fat (g/100 g): 0.08; Protein (g/100 g): 1.23; Carbohydrate (g/100 g) : 22.86; Energy (kcal/100 g): 96.62; Excellent as flour substitute in the preparation of bread and the following local dishes tuo-zaafi, peeled with pepper and peeled without pepper","Guinea Savannah, Sudan Savannah, Coastal",UW022,2019,2019,COTTON,Gossypium hirsutum 81,68
Nutsugah Piesa (Nutsugah’s Frafra potato),GH/Sr/005/19,Ghana,"F. Kusi, K. Nutsugah, Roger A. L. Kanton, Peter A. Asungre (CSIR-SARI); Lawrence Aboagye (CSIR- PGRRI)",CSIR- Savanna Agricultural Research Institute,Plant stature: semi spread; Growth habit : Multiple stems; Pigmentation : slightly at the margins of old leaves; Leaf colour: yellowish green; Stem colour: light green; Flower colour: purple; Physiological maturity: 95 days; Tubers per plant: 137.7; Tuber shape- oblong ; Tuber skin colour: light brown; Resistance to diseases: tolerant; Dormancy period: 4 months after harvest; Drought tolerance: tolerant Average tuber weight: 3.88 g,"Potential tuber yield;17 t/ha; High resistance to Fusarium wilt, tuber rot and foliar diseases; Proximate composition: Moisture (g/100 g): 77.29; Ash (g/100 g): 0.94; Fat (g/100 g): 0.06; Protein (g/100 g): 0.93; Carbohydrate (g/100 g): 20.79; Energy (kcal/100 g): 87.4; Excellent as flour substitute in koose in the preparation of thick porridge","Guinea Savannah, Sudan Savannah, Coastal Savannah and forest zones",ACC01022,2019,,COTTON,Gossypium hirsutum 81,68
Ghana Variety Release Catalogue,69,,,,,,,,,,COTTON,Gossypium hirsutum 81,69
Okumkom,GH/Ib/001/15,Landrace/ Ghana,"J. A. Otoo, CSIR - CRI",CSIR-Crops Research Institute,Plant type: Spreading; Vine pigment: Green; Vine tip pubescence: Heavy; Foliage color: Mature leaf colour: Green; Petiole pigmentation: Green; Storage root shape: Round Elliptic; Storage root skin color: Pink; Storage root flesh color: White,Potential root Yield: 30 tons/ ha; Starch: 65.9 %(DWT); Total sugars: 17.31; Sweetpotato weevil: Tolerant; SPVD: Tolerant; Storage root Dry Matter content: 30.7%. Uses: Ampesi,"Guinea savannah, Forest-Savannah transition and coastal savannah",TIS 8266,1998,2015,COTTON,Gossypium hirsutum 81,70
Santom pona,GH/Ib/002/15,Landrace/ Ghana,"J. A. Otoo, CSIR - CRI",CSIR-Crops Research Institute,"Plant type: Spreading; Vine pigment: Green; Foliage color: Green; Petiole pigmentation: Green; Storage root shape: Long elliptic, round (variable); Storage root skin color: Predominant color , dark cream; Storage root flesh color: Pale yellow",Potential root yield: 17 tons/ha; early maturing; highfoliage; starch: 70%(DWT); Total sugars: 12. 95 %; Storage root Dry Matter content:34.4%; Storage root carotene content: 618µg/100g; Sweetpotato weevil: Tolerant; SPVD: Tolerant,"Guinea savannah, Forest-Savannah transition and coastal savannah",TIS 84/0320,1998,,COTTON,Gossypium hirsutum 81,70
Sauti,GH/Ib/003/15,Landrace/ Ghana,"J. A. Otoo, CSIR - CRI",CSIR-Crops Research Institute,Plant type: Semi- Erect; Vine pigment: Green with many dark purple spots; Mature leaf shape: Type of lobing: Deep; Foliage color: Immature leaf color: Green with purple edge; Petiole pigmentation: Green; Storage root shape: Long Irregular Or Curved; Storage root skin color: Cream,Potential root yield:19 tons/ha; less sugary; starch 69.26% (DWT); Total sugars: 12.71%; Sweetness: Less; Storage root Dry Matter content: 40.2%; Storage root nitrogen: 5.3; Storage root starch %age: 14.8; Storage root carotene content: 1171µg/100g; Uses: Ampesi and french fries; Sweetpotato Weevil (SPW): Susceptible; SPVD W): Tolerant,"Guinea savannah, Forest-Savannah transition and coastal savannah",Not known,1998,2015,COTTON,Gossypium hirsutum 81,70
Faara,GH/Ib/004/15,Landrace/ Ghana,"J. A. Otoo, CSIR - CRI",CSIR-Crops Research Institute,"Plant type: Extremely Spreading; Foliage color: Mature leaf color: Green; Immature leaf color: Yellow Green; Petiole pigmentation: Green with purple throughout; Storage root shape: Long Elliptic; Storage root skin color: Storage root flesh color: White; Vine pigment: Green; Foliage color Mature leaf color: Green Immature leaf color: Green; Petiole pigmentation: Green; Storage root shape: Long elliptic, round (variable); Storage root skin color: dark cream; Storage root flesh color: Pale yellow",Potential root yield: 22 tons/ha; starch: 70.21 % (DWT); Total sugars: 13.90 %; Storage root Dry Matter content: 34.4%; Storage root carotene content: 618µg/100g; Sweetpotato Weevil: Tolerant; SPVD: Tolerant; Uses: Fried chips and Ampesi,"Guinea savannah, Forest-Savannah transition and coastal savannah",TIS 3017,1998,,COTTON,Gossypium hirsutum 81,70
CRI-Otoo,GH/Ib/005/15,CIP,"H. K. Dapaah, K. Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Spreading; Foliage color: Green; Petiole pigmentation: Green with purple at both ends; Storage root shape: Long-elliptic; Storage root skin color: Pale Cream; Storage root flesh color: Cream with interspersed Light orange,Potential root yield: 23 tons/ha; starch: 68.03 % (DWT): Total sugars 15.9 %; Storage root Dry Matter content: 32.2%; Starch content : 13.3%; Storage root carotene content: 545µg/100g; Sweetpotato Weevil: Tolerant; SPVD: Tolerant; Uses: High biomass production for livestock; French fries and flour products,"Guinea savannah, Forest-Savannah transition and coastal savannah",Mogamba,2005,2015,COTTON,Gossypium hirsutum 81,70
CRI- Apomuden,GH/Ib/006/15,CIP,"H. K. Dapaah, K. Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Spreading; Foliage color: Green; Petiole pigmentation: Green and pigmented close to the leaf; Storage root shape: Long Irregular Or Curved; Storage root skin color Predominant color: Purple-red with intspersed Cream; Storage root flesh color: Orange with yellow; Storage root shape variability: Moderately Variable; Storage root size variability: Moderately Variable,Excellent for baby: foods and fortification of dairy products (potaghurt); potential root yield 30 ton/ha; starch: 47.01% (DWT): Total sugars: 36.67%; Storage root Dry Matter content: 21.9%; Storage root starch content: 10%; Storage root beta: carotene content: 21846 : 40926µg/100g; Sweetpotato Weevil: Susceptible,"Guinea savannah, Forest-Savannah transition and coastal savannah",Kamala sundari,2005,,COTTON,Gossypium hirsutum 81,70
CRI - Ogyefo,GH/Ib/007/15,CIP,"H. K. Dapaah, K. Adofo CSIR - CRI",CSIR-Crops Research Institute,Plant type: Spreading; Foliage color: Green; Storage root shape: Long irregular or curved; Storage root surface defects: Absent; Storage root cortex thickness: Intermediate; Storage root skin color: Pink; Storage root flesh color: White,Excellent starch properties; potential root yield 20 tons/ha; starch: 74.13 % (DWT); Total sugars: 10.06 %; Storage root Dry Matter content: 40.1%; Starch content: 12.4%; SPVD: Tolerant,"Guinea savannah, Forest-Savannah transition and coastal savannah",Not known,2005,,COTTON,Gossypium hirsutum 81,71
